Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Aircraft,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity
2022-09-21,1,Australia,Not Verified,"""in the check in line for 3 hours""","I waited in the check in line for 3 hours because it was under staffed, after my flights was rescheduled and had to ring Jetstar a number of times to sort it out. Now my flight has been pushed back a day later when I have wedding to attend.",,Solo Leisure,Economy Class,Sydney,Phuket,,August 2022,,,1.0,1,no,,,
2022-09-18,1,Australia,Trip Verified,"""waiting time of over an hour to be served""","Flew from Melbourne to Bangkok in what Jetstar deceptively market as ""business class"". There was one business class check-in counter, staffed by a trainee under instruction. The trainee looked like he had never seen a computer before and was receiving detailed instruction, key press by key press. Average processing time was about 15-20 mins per passenger, so even though only 4 people in the queue ahead of me, waiting time of over an hour to be served. Most of the people behind me gave up in exasperation and tried to find other ways to get on the plane before it took off without them Had plenty of time to observe the interaction of other staff between themselves and with customers. Their demeanor, professionalism and concern for customer satisfaction approximated what I would expect from prison inmates on day work release. The seats were in a 2-3-2 configuration and on any other airline that I have flown on would be described as premium economy. On my seat the recline and footrest buttons were jammed and inoperable. I would say Royal Jordanian Airlines is ahead and shoulders above the shambolic experience Jetstar deliver up.",,Business,Business Class,Melbourne,Bangkok,,September 2022,2.0,3.0,1.0,1,no,4.0,,
2022-09-09,1,Australia,Not Verified,"""2kg extra and told me to cough up $65""","Sydney to Gold Coast. Please be aware of the sly and sneaky business practices of Jetstar airlines. When you do a price comparison against other airlines, they look like they have the cheapest prices. In reality, they don’t. If you want to bring a bag (even onboard as carry on), you have to pay (in some Virgin and Qantas flights it’s included). Everything costs extra. And then this… The staff were walking around at the boarding gate with a portable scale weighing peoples bags and charging them for each kg extra!! I’ve NEVER seen such gouging before. Desperate for money, left a bad taste in everyone’s mouth. I had 2kg extra and they told me to cough up $65! I will be avoiding Jetstar in the future. I hope you do too.",,Solo Leisure,Economy Class,Sydney,Gold Coast,,September 2022,2.0,2.0,1.0,1,no,1.0,,
2022-09-03,2,Indonesia,Trip Verified,"""cancelled my flight 3 hours before""",Jetstar cancelled my flight 3 hours before schedule. My flight was morning flight so I was booked a taxi in the early morning. So disappointed.,,Family Leisure,Economy Class,Melbourne,Sydney,,August 2022,1.0,,1.0,1,no,,,
2022-09-03,1,Australia,Trip Verified,"""by far the worst airline""","I have flown Jetstar for years with a few minor incidents but never again. Paying the few extra dollars for another airline is worth it, Jetstar are by far the worst airline I’ve flown in the world. Went to Thailand for ten days, flight home was cancelled and Jetstar can’t rebook another flight for twelve days later! I found Jetstar flights that would get me home however they wouldn’t book them as they included a different connection home. So now I’ve had to pay $1700 for a one way flight to Melbourne and they won’t provide a refund, only a voucher. I can accept a few days, but almost two weeks is appalling. Not worth flying with them, it always ends up costing more but this is ridiculous.",,Solo Leisure,Economy Class,Melbourne,Bangkok,Singapore,August 2022,1.0,1.0,1.0,1,no,,,
2022-09-01,1,Australia,Not Verified,"""Pathetic excuse of a company""",Melbourne to Denpasar. I have travelled for the better half of 15 years around the world and this is by far the worst airline I have dealt with. Pathetic excuse of a company. I will never fly Jetstar again,,Solo Leisure,Economy Class,Melbourne,Denpasar,,September 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2022-08-31,2,Australia,Not Verified,"""They are really a messy airline""","I just happened to check the app a few days before leaving Honolulu to come home to Sydney and saw it changed to Hawaiian airlines. They had put us on Hawaiian and of course with that went my exit row, meal, 30kg baggage. Ended up in the back row of Hawaiian with limited recline next to a toilet (this is why I like an exit row so I can get out). Hawaiian was great though, crew and service was 10/10. No communication from Jetstar and because they changed us to Hawaiian all my baggage limit went from 30kg to 23 in line with the new airlines. Not Hawaiians fault but a shock since we had been shopping. Had to go on line to get a refund of the seats and meals we paid and Jetstar refused to give me a refund on the baggage which is odd since we paid for 30KG and got 23kg. I was just done with spending an hour on chat with them. Some people didn't get notified about the change in times so one lady we met spent from 5 am til 1250pm at airport waiting for Hawaiian. I wont touch them again. They are really a messy airline. On the way up in Business the crew were all over the place. They asked us what we wanted for dinner and breakfast, set our pre dinner drinks down then as I took my first sip they were putting dinner down. Talk about being in a rush. There is too much to go wrong with Jetstar at the moment they seem super unreliable",,Couple Leisure,Economy Class,Honolulu,Sydney,,August 2022,1.0,3.0,3.0,2,no,2.0,1.0,
2022-08-27,1,Australia,Trip Verified,"""a very miserable airline""","Jetstar is a very miserable airline.  Flight are delayed. On board you have to buy food and also water. It's low cost company I understand, but on long flights like the one I had (8 hours) they should provide at least snacks and water. If your baggage exceeds for 1 gr the weight limit, they will charge you a crazy fee. At the boarding time it was a mess, disorganised. Overall I'd rather pay more money to any other airline.",,Solo Leisure,Economy Class,Singapore,Melbourne,,August 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2022-08-14,1,United States,Trip Verified,"""the worst airline I have ever flown""","This was the worst airline I have ever flown with. Not even worth the cheap flights. Wanted to do something nice for our honeymoon and we ended up stuck in Bali with none of our luggage and no one knew where it was. Two days later it showed up at our hotel with no notice of its details. We tried to get in contact for compensation and they refuse to email us back and assist us for our troubles. On our flight back to the United States, there was no communication telling us we needed Australian visas for our layover. We spent another hour and a half at the customer service desk. Because of our layover in Sydney, they are making us claim our bags in the Sydney Airport and then pay another big amount to recheck our bags in to fly to Honolulu. This airline is a scam. Don’t fly with them. They lack integrity and honesty and will do everything they can to screw you out of a dollar.",,Couple Leisure,Economy Class,Denpasar,Sydney,,August 2022,1.0,3.0,1.0,1,no,1.0,1.0,1.0
2022-08-01,1,Australia,Trip Verified,"""I've had it after this pitiful experience""","I've flown plenty of times with Jetstar in the past, but I've had it after this pitiful experience. From the get go rude, incompetent customer service at check, so much so that while the staff member from the business class counter was cross examining me about where I plan to fly to next (I was not flying round trip back to Aus) she managed to send my check in suitcase without tagging it. When she realised her mistake not only did she pretend it was being fixed but when I asked the service counter they said the same - three of them standing around having a gab, not a single one checked anything but they were happy to assure me that it was sorted out. Shocker, my suitcase never showed up and since then the baggage services at Sydney airport have confirmed it was never tagged and never even left Sydney airport. Even though it's still there Jetstar have made zero attempt to locate it, a potential match was found a week ago and I had to send someone to the airport to sort things out for me when it became clear the counter staff aren't bothered to do their jobs. Beware if they actually lose your luggage they have some pretty poor policies so they can pay you as little as possible! Cameras, computers, headphones, phones, ipads etc none of that is covered.",Boeing 787 Dreamliner,Solo Leisure,Economy Class,Sydney,Ho Chi Minh,,July 2022,2.0,2.0,1.0,1,no,1.0,,
2022-08-01,1,Norway,Not Verified,"""the company and the policy stinks""","What is not wrong with this airline? The staff are not interested, the Seats are too short with no legroom, the food is not suitable for humans. We checked in in Ayers rock, going to Cairns via Melbourne. They where not able to handle our luggage, so we had to take it out in Melbourne. Then we had to wait two hours to check it in to Cairns. With 60 kilo + hand luggage that was a challenge. When we asked, the answer was a totally uninterested ‘company policy’. Both the company and the policy stinks. Advise is to avoid them when possible. Fancy colours and uniforms but that’s all!",,Couple Leisure,Economy Class,Ayers Rock,Cairns,Malbourne,August 2022,1.0,2.0,1.0,2,no,1.0,1.0,1.0
2022-07-25,1,Australia,Not Verified,"""customer service is non existent""","We just had our flight cancelled without a proper reason. And then told we had to overnight in Cairns. But had to find our own accommodation and transport from the airport. We were offered $300 for the night but minimum cost in Cairns is $350. So we have to pay the rest ourselves. We may or may not get the cost of transport to and from the airport, for a possible flight the next day. This is a dodgy airline. Do not use them in any circumstances. Performance is atrocious and customer service is non existent.",,Couple Leisure,Economy Class,Cairns,Melbourne,,July 2022,2.0,,1.0,1,no,,,
2022-07-24,3,Australia,Trip Verified,"""will be my last flight with Jetstar""","Very disappointed, I booked business class for my flight, it’s cost me double compare to economy class but it’s not worth the value. There is no amenities kit. I just need a pair of earplug to reduce the noise for sleeping but it’s unavailable. I have traveled with Jetstar for over 10 yrs but this will be my last flight with Jetstar. For future traveller, pls avoid this airline.",,Solo Leisure,Business Class,Ho Chi Minh,Melbourne,,June 2022,1.0,3.0,3.0,1,no,3.0,1.0,
2022-07-23,1,Australia,Not Verified,"""couldn't get a credit""","I didn't fly. I booked and tried to cancel the next day when my partner found out she couldn't travel. This was in 4 months time. When I eventually was able to contact Jetstar and only after they sent me a booking number, I was told I couldn't cancel with out losing my points, couldn't get a credit and if I chose to change dates, it would cost me $240 for a $500 flight. This is not customer service, this a extortion.",,Couple Leisure,Economy Class,Sydney,Melbourne,,July 2022,,,1.0,1,no,,,
2022-07-23,1,Australia,Trip Verified,"""Never again will we be flying Jetstar""","Checked in with a friend for Jetstar flight JQ984 from Adelaide to Perth at a self check-in kiosk at Adelaide airport. Hundreds of people were queued at the Jetstar service desk due to a cancelled Adelaide to Melbourne flight. No sooner were our boarding passes and baggage tags issued, the flight was cancelled (operational reasons) and the only option given for another Jetstar flight to Perth was 3 days later. We chose to get a refund and booked another flight on Qantas. However, the only way to get home that day was to fly via Canberra and pay an additional $3000 for 2 economy seats, which we did! The Canberra to Perth sector on Qantas was delayed and nearly cancelled too! Never again will we be flying Jetstar.",A320,Couple Leisure,Economy Class,Adelaide,Perth,,July 2022,1.0,,1.0,1,no,,,
2022-07-03,1,New Zealand,Not Verified,"""Terrible customer service!""",Terrible customer service! I showed up to my flight two hours before boarding only to be told my flight was cancelled. The was no notification of this via email or text. I understand that flights get cancelled so I remained calm and polite. I asked for a refund so I could afford to go and buy another ticket at a different airline only to be told it would take at least 5 days to get my refund! I had to settle for rebooking my flight for the next day. They even refused to pay for my parking at the airport. As someone who works in customer service I know terrible people skills when I see them. Rude and unsympathetic team members and terrible policies.,,Solo Leisure,Economy Class,Christchurch,wellington,,July 2022,1.0,1.0,1.0,4,no,1.0,1.0,1.0
2022-06-29,1,Australia,Not Verified,"""Absolutely useless!""","Worst airline ever! Delayed our first flight twice and then eventually cancelled it, stuck in Bali another night to only go through it all again the next night and then eventually getting us a flight 4 days later only to cancel that so we had to go with another airline! Absolutely useless!",,Couple Leisure,Premium Economy,Perth,Indonesia,,June 2022,1.0,2.0,1.0,1,no,1.0,,
2022-06-29,2,Germany,Trip Verified,"""will never fly with Jetstar again""",Worst lost luggage service you can expect. The airline only delivered my luggage halfway and I had to travel for one week without a baby stroller let alone spare clothes. I understand these things can happen but I do not expect it to take more than 1 month to get the luggage delivered to my home address. It took the airline 3 weeks to locate whereabouts of my luggage and now its saying I need to organize with the airport to get the bags sent to my home address which is located in another city. What is even worse is their customer support. You cannot be put through to the case manager only they can reach you but they never managed to dial my number correctly. When you call customer support minimum wait time is 30mins and they cannot provide any solutions as they are not authorized. All in all will never fly with Jetstar again.,,Family Leisure,Economy Class,Auckland,Singapore,Melbourne,June 2022,4.0,4.0,1.0,1,no,,,
2022-06-29,1,Australia,Trip Verified,"""Worst airline I experienced""","Worst experience ever. I wanted to drop luggage at Cairns airport. I was asked by Jetstar check-in staff to queue at the only member to take bags. At that moment, no one else queued behind us. A few moments later, some passengers started to queue behind. This popped up more Jetstar staff to take bags. However, one of them asked me to go back to the end of the now swelling queue. She didn't care to listen to my explanation! Worst airline I experienced!",,Family Leisure,Economy Class,Cairns,Sydney,,June 2022,1.0,1.0,1.0,1,no,,,
2022-06-24,1,New Zealand,Not Verified,"""Jetstar is the worst""",3 years I haven't seen my sister. I only had 1 day in Melbourne I was able to see her. Jetstar then cancelled my flight at the last possible second and I'm not able to see her. Jetstar is the worst.,,Solo Leisure,Economy Class,Auckland,Melbourne,,June 2022,1.0,1.0,1.0,1,no,,,
2022-06-24,1,Australia,Not Verified,"""the worst customer service I have ever experienced""","I have flown with many different airlines around the world for over 35 years. I have flown with Jetstar on occasions and every time it has resulted in late departure, cancelled flights, poor inflight service and the worst customer service I have ever experienced with any business. It's not all about profit Jetstar. Get you act together.",,Solo Leisure,Economy Class,Melbourne,Vietnam,,June 2022,3.0,1.0,1.0,1,no,1.0,,
2022-06-24,1,Australia,Not Verified,"""Pitiful customer service""","Yet again Jetstar has let us down. Arrive at airport at 6.30am for 8.00 flight. Flight cancelled. Told by staff, ""it's nothing to do with us, your travel agent should let you know"". How is that possible when the flight was cancelled that morning? No apologies at all. Only flight available was 5.10pm, so either wait at airport all day, or, go home and come back. Several hundred dollars in cab fares wasted, loss of deposits for activities in Melbourne, weekend getaway to visit friends ruined. Jetstar do not care at all because this is their common practice. Pitiful customer service.",,Couple Leisure,Economy Class,Newcastle,Melbourne,,June 2022,1.0,1.0,1.0,2,no,1.0,1.0,1.0
2022-06-22,1,India,Trip Verified,"""worst of experiences you can face""","The worst of experiences you can face on and off a flight due to an airline. Absolutely pathetic service. Cancelling flights without notice. And then asking you travell to other airports in order for me to catch my connecting flight, that too without any hesitance or apology. The staff on and off the airplane is same as their service maybe barring a few. My luggage didn't arrive as well to Melbourne. My seat was booked for some other passenger as well, meaning they issued 2 boarding passes for 1 seat. The same happened with my friend travelling with me. They charge you the money first and immediately say, sorry we don't have what you ordered can i provide something else. In a international flight of 13 hrs (including connection), there was no option of having a meal on board( when booked through 3rd party) and when you ask for food during the flight, it will definitely take more than an hour to serve you. The staff handling the luggage was on the same line unapologetic and rude. Told me this is normal. Its a disgrace for other airlines to be sharing pathways with this terrible airline. They did not even have the courtesy to change my seat when i continuously complained about my back pain, even for extra money. The thing they just don't want to serve you. When i told them that i cannot board a flight to some airport and then take a cab to Melbourne to catch the connecting flight. Neither did they agree to pay for fare i had to pay neither did they assure me that the flight wont leave without me if i could not manage everything in 2 hrs. Horrible experience, i hope no one has to go through what i had to. And lastly the fare was more than Emirates to start with, without meals and deducting money before they tell you they dont have what you want. On top of that asking me to pay for even a song to listen let alone movies or shows.",,Solo Leisure,Economy Class,Sydney,Singapore,Melbourne,June 2022,1.0,1.0,1.0,1,no,,,
2022-06-20,1,Australia,Trip Verified,"""no water or food for a 7 hour flight""",After paying 1400 AUD to fly from Sydney to Bali I expected a decent service. I asked for a blanket and they wanted to charge me 10 AUD. Had to pay 10+ AUD to watch any single movie and of course no water or food for a 7 hour flight. On top of that the flight got delayed and the seat space was pretty narrow. It is one of those companies that offers less for more. They want to take out from you as much money as possible.,,Couple Leisure,Economy Class,Sydney,Denpasar,,June 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2022-06-20,1,United States,Trip Verified,"""absolute worst flight experience""","This has been the absolute worst flight experience I have ever had, and I fly a lot. Not only was my flight cancelled last minute (while I was sitting at the gate) but there was absolutely no resolution, and no customer service. I will never fly JetStar again due to how horribly this was handled. I’ve had canceled flights before and I am a flexible traveler but a flight has never been cancelled less than an hour before takeoff and with no support about how to get to my final destination. I have been screwed out of thousands of dollars because I can’t get to my destination or get any reimbursement or refunds on accommodations. The woman helping on the phone was not helpful and wanted me to fly to a different part of the country to somehow arrive at my destination an entire 24 hours later and thought this made sense. She refused to allow my to talk to anyone else and said I had to cancel my flight and basically figure everything out myself. Other airlines are so much more helpful and understanding but JetStar is absolutely horrible. No one would help in person either, it honestly felt like a practical joke because I don’t understand how an airline can successfully operate like this. I will not be a return customer.",,Couple Leisure,Economy Class,Melbourne,Uluru,Sydney,June 2022,,,1.0,1,no,,,
2022-06-18,1,Australia,Not Verified,"""Jetstar is absolutely terrible""","Jetstar is absolutely terrible. Cancelled flight 3 hours before. We have already arrived at the airport to be told our flight was cancelled till the next day! Have to organise a hotel ourselves as there is no Jetstar staff available apparently and have to wake up at 3am only just getting to our hotel at 9pm. Flew with Jetstar on way to Phuket, also was postponed a day with an added stop! No food or drinks included and a lot of extra payments have to be made for baggage etc.. Shocking entertainment package included with bad movies which you also have to pay for. Would not recommend.",,Couple Leisure,Economy Class,Melbourne,Phuket,,June 2022,1.0,1.0,1.0,1,no,1.0,1.0,
2022-06-17,1,Australia,Not Verified,"""3 hours prior to departure they cancel again""","Once again a cancelled flight. I have written about Jetstar before of how they make me religious, I pray daily I don't have to fly with them. However only direct flight from Perth to Cairns is Jetstar, 3 hours prior to departure they cancel again. Now I must spend hours on the phone trying to get a refund. Their replacement flight only leaves tomorrow and takes 27 hours for a 4 hour trip. Jetstar disgust me. Disgraceful airline. As a Qantas Gold I can say Qantas dropping the ball as well though.",,Business,Economy Class,Perth,Cairns,,June 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2022-06-12,1,Australia,Not Verified,"""not be flying again with Jetstar""","Flight got delayed twice, boarding was said to be half an hour. They then said that they had no idea when boarding was going to be. Flight was meant to be at 8:50am it is now 11:20 and still haven’t even boarded yet. Will not be flying again with Jetstar.",,Solo Leisure,Economy Class,Brisbane,Melbourne,,June 2022,1.0,1.0,1.0,1,no,,,
2022-06-08,1,Australia,Trip Verified,"""a most unpleasant and tiring experience""","We flew on Jetstar from Melbourne to Kuala Lumpur, transiting in Singapore on 22 May 2022. The flight was supposed to depart at 12.00 pm. Boarding was on time but we waited on the plane until 1.30 pm. No announcement was made on the reason for the delay and the arrangement for transit passengers if they miss their connecting flight. We expressed our concern to a flight attendant that we may miss our connecting flight to Kuala Lumpur. Even if we could make it for the connecting flight, we are unsure whether our luggage can be transfered to the next flight. We were assured that we will make it to our connecting flight and our luggage will be transferred to the connecting flight. Our connecting flight from Singapore to Kuala Lumpur was supposed to depart at 7.30 pm Singapore time. By the time we arrived in Singapore, boarding for the connecting flight has commenced. There was no staff at the arrival gate to direct us to the departure gate. We and some other transit passengers rushed to the wrong end of the terminal and had to run back to the correct gate. When we arrived at Kuala Lumpur, we waited in vain for our luggage for more than an hour. There was a whole group of passengers from Melbourne who were in the same situation. Again there was no staff at the baggage area for us to ask. Eventually some passengers managed to contact the staff to report our lost luggage. They told us that our luggage were still in Singapore and they may arrive the next day. By the time we completed the report, it was close to 11 pm. We stayed the night at the Kuala Lumpur airport hotel hoping that we can pick up the luggage the next day instead of having the luggage delivered to us since we have chocolate which may melt in the heat. We picked up our luggage at 2.30 pm from the airport before travelling to our destination. The flight was a most unpleasant and tiring experience for my wife and me. There was very poor communication and we were left to fend for ourselves although the problem was no fault of ours.",Boeing 787,Couple Leisure,Economy Class,Melbourne,Kuala Lumpur,Singapore,May 2022,2.0,2.0,1.0,3,no,,,
2022-05-17,1,Australia,Not Verified,"""exceeded their weight limit of 7kg""","This is the worst airline I have ever had dealings with. Many years ago I had booked and paid $130.00 for a flight from Gold Coast to Sydney. On the way to the airport I was held up by road-works, however I arrived at the airport at 4minutes to 3 o’clock. There was no one at the checkin counter so I had to wait about 6 minutes before an airline employee came to attend the counter. When he found out that I was booked on the 3-30 flight he informed me that I would not be able to board the flight even though the flight had not been called and I had no baggage whatsoever. He told me I could take the next flight if paid a new fare of $150,00. He informed that I had lost my money. I returned home and the next day I flew out on Virgin Blue from Brisbane Airport. No money was ever refunded even though it is illegal for airlines to retain the airport taxes. I thought that this firm may have improved, and it was convenient I booked a flight from Gold Coast last Friday 13th of May. I noted that the employees were all very dictatorial, but it seemed OK. The flight departed about 12 minutes late and so it also arrived in Sydney late. The flight time to Sydney was 1hour and 7 minutes. After landing the plane commenced travelling to the terminal, but then stopped. After this it did move a few times. The pilot eventually informed us that there was another plane at our gate refuelling. After 1hour and 37 minutes of sitting on the ground the aircraft arrived at the gate. That is flight time was 1hour and 7 minutes and time spent freezing on the taxiway was 1 hour 37 minutes. On last Monday 16th May we began our return journey being booked on a flight departing Sydney at 6-40pm. Everything went to plan until just before departure, passengers were already entering the aircraft, when 3 airline staff came to weigh our tiny bags. They found that our bags (including our wallets) exceeded their weight limit of 7kg by about 2.1kg. We were 2 passengers so the total weight was 16.1kg. They demanded that we pay $65 each even though one passenger’s bag was less than 7kg. Eventually I removed my toothbrush and pyjamas to get the total weight down to 13.9kg.",A320-200,Family Leisure,Economy Class,Sydney,Gold Coast,,May 2022,2.0,1.0,1.0,1,no,1.0,,
2022-05-16,3,Australia,Trip Verified,"""Devastating experience"" ","I had got a flight to Sydney from Uluru (Ayers Rock) on the 16th of May 2022 at 2.10pm. However, I had booked in with a 7kg in flight baggage. Having said that, when I checked in at counter, the staff saw my bag and she mentioned nothing as it is below 7kg. As I got onto the flight the crew member stopped me and told me to leave my bag next to her, as it is slightly bigger in size to put it in over the seat bag compartment. I asked, so where will my bag be placed at and she said it'll be placed below the plane, I said ok as long it's safe. She said she'll get it back to me, she asked for my seat number. I waited, she did not come to me to notify me about my bag. Well, I trusted her as a staff and crew member of the flight of Jetstar. Reached Sydney, as I was getting down, I asked her, what happened to my bag, and she said someone from the baggage will page my name for my bag. Well, again I trusted her words and waited at the baggage area, my bag not to be seen, went to check at the Jetstar baggage counter, explained to she and she checked and she gave me a paper with baggage service reference number. I waited more than one hour, looking and waiting for my bag, 2nd I put my trust on the crew member. At last I got a call from the baggage service counter, saying my bag has been sent sent back to the ground at Uluru (Ayers Rock) airport. It is total disgrace to put a passenger in such situation. I had stayed in a hotel having no change of clothes, all were in my bag. I had wasted more than an hour waiting and looking for my bag, caused me stress and anxiety going through all this. I had to go purchase new clothes, new personal items. That bag of mine looked big, but could've easily fit into the cabin bag above the seat. Devastating experience.",,Solo Leisure,Economy Class,Ayers Rock,Sydney,,May 2022,1.0,1.0,1.0,2,no,,,
2022-05-15,1,Australia,Trip Verified,"""cancelled with less than 5 hours notice""","I’ve flown with Jetstar many times from Melbourne to Pert to visit my partner and yet I haven’t learnt my lesson. Almost every flight has been cancelled with less than 5 hours notice. The most recent for a 6am flight but you’re unable to choose a reimbursement flight online so have to wait until 6 when the call centre opens. The only one they didn’t cancel, they managed to leave my bag behind in Melbourne, needing to put it on a Qantas flight to get it over there. There’s an obvious reason it’s the cheaper subsidiary of the Qantas group.",,Solo Leisure,Economy Class,Melbourne,Perth,,January 2022,3.0,3.0,2.0,2,no,,,
2022-05-15,1,Australia,Trip Verified,"""Where’s the communication?""","My new husband and I are using this airline for our honeymoon. First thing that went wrong is that our flight from Melbourne to Cairns (JQ940) was cancelled in the middle of the night. So lucky my husband woke up and saw the message, and we spent three hours in the crazy hours of the morning trying to find another flight that would get us to Cairns on the same day. The lack of flight choice without ridiculous stopovers was appalling. And thanks to the airline, we lost an entire day of our trip. But that’s not all. Before we left for our honeymoon, Jetstar told us that our flight home was rescheduled to be earlier. Which was disappointing because we were going to lose another day of our honeymoon. And once again, this morning we received a message in the middle of the night, telling us our flight (JQ941) has been delayed. Well, our hotel front reception weren’t in until 9am to help rearrange a later shuttle bus, so we had to suck it up and head to the airport to wait four hours for our flight. But then, about 10 minutes before our new boarding time, the departures sign showed that our flight would be further delayed by another two hours. So basically, that’s over 6 hours of us dragging around the airport, wasting our time and holiday. I’m currently in Cairns airport as I write this, trying to get back home to Melbourne, really upset. Where’s the communication? No text, no email, the app is all incorrect information. Where’s the staff that we can talk to? And with all the delays put together, it’s literally back to the original flight time we had when we booked. If we had known this earlier than 4am, then we could have spent another day enjoying our honeymoon. All up, I’d say we lost two days worth of our honeymoon, just from Jetstar flight delays and cancellations. I probably will never fly Jetstar again. I have never had a problem in the past, and it’s so upsetting watching all the Qantas and Virgin flights go home.",,Couple Leisure,Economy Class,Cairns,Melbourne,,May 2022,1.0,2.0,1.0,1,no,,,
2022-05-11,1,Australia,Trip Verified,"""delayed or cancelled last minute""",Sick to death of flying with this budget airline. Flights are always delayed or cancelled last minute with no alerts sent to their passengers or respect for our time. Carry on weights are pathetic making a big drama over 400grams over weight.,,Couple Leisure,Economy Class,Gold Coast,Adelaide,,May 2022,1.0,1.0,1.0,1,no,2.0,1.0,
2022-05-08,1,New Zealand,Trip Verified,"""charges $260 for overage""","Jetstar waits for our family of 4 to queue up to board, then weighs purses with carry-ons, charges $260 for ""overage"". This was only on return flight no check on going flight, and says ""if you don't pay you can't fly."" Worst airline ever - avoid at all costs.",,Family Leisure,Economy Class,Queenstown,Auckland,,August 2020,1.0,1.0,1.0,1,no,1.0,,
2022-05-04,6,Australia,Trip Verified,""" plane was setup like a domestic flight""","We got very cheap tickets so weren't expecting much. Plane was clean and departure on-time. For an international flight the plane was setup like a domestic flight is no blanket, pillow. Seats were hard and thin. We preordered our meals which were delivered with a smile from the crew. I'd be inclined to pack snacks and drinks as the selection available is pretty uninteresting. The entertainment was really good however the headsets were cheap and nasty earbuds. You couldn't hear over the noise if the plane. We put our noise cancelling headsets over them to make it bearable. Flight was easy and no problems at either boarding or landing. Luggage had to be correct weight. 20 kg and 7kg for hand. Much prefer USA southwest 2bags X 23 kg free plus 7 hand or American USA we used for further flights into USA. Jetstar is ok however they just give you a seat .. you need to either buy what other airlines give free or supply it yourself.",,Couple Leisure,Economy Class,Melbourne,Honolulu,,March 2022,2.0,5.0,5.0,5,yes,2.0,3.0,4.0
2022-05-03,1,Australia,Trip Verified,Jetstar Airways customer review,"First flight cancelled at the gate. No realistic compensation options. Policy is to rebook you on another JS flight or give you money back. Problem is their flights are booked and your only other option is to choose another carrier and pay Twice as much to get where you need to go. Second flight cancelled, same rubbish options offered (nearest jet star flight was 25 hours total flight time to go from Melbourne to Brisbane). Support staff are unable to help due to garbage policies. No compensation given. They kept saying “we value getting you to where you need to to” but their policies are the exact opposite. Lots of customer care speak, but when push comes to shove they are an incompetent, greedy airline who care very little about you. Lesson learned: never fly Jetstar.",,Solo Leisure,Economy Class,Brisbane,Melbourne,,April 2022,1.0,1.0,1.0,1,no,,,
2022-05-03,2,Australia,Trip Verified,"""they count every gram of luggage""","Terrible experience, they count every gram of luggage. Have to do the pathetic reshuffling of bags at the last minute which is pointless over 300 grams. Customer service poor.",,Business,Economy Class,Sydney,Melbourne,,May 2022,1.0,2.0,2.0,2,no,,,
2022-05-02,1,Australia,Not Verified,"""I have not had a worse flight""","I have not had a worse flight run than my two most recent flights with Jetstar. Firstly the over 10 hour international flight with no food provided or inflight entertainment provided. Then after arriving at the connecting airport with less than 2 hours to my next flight. The flight was suddenly cancelled leaving me with no option but to wait in an hour long line to get my flight moved. I was lucky and able to get on a flight later in the evening however some people were told they couldn’t get on until the next day. Further to this, the flight I was moved to then was delayed by 40 min and then after arriving at my destination we waited for over 40 min in the aircraft as we were unable to disembark. One of the worst experiences I have had flying. I will not be flying with Jetstar again.",,Solo Leisure,Economy Class,Honolulu,Sydney,Melbourne,May 2022,1.0,1.0,1.0,1,no,1.0,1.0,1.0
2022-05-02,1,Australia,Not Verified,"""Terrible customer service""","Terrible customer service. My flight was cancelled and the staff were totally rude, unhelpful and said there was nothing they could do and I had to do all the rebooking/refund process by myself. I asked them to help to find me another flight and they refused to provide any sort of assistance. Shame on you Jetstar.",,Family Leisure,Economy Class,Gold Coast,Sydney,,May 2022,1.0,1.0,1.0,1,no,,,
2022-04-30,1,Australia,Not Verified,"""would avoid Jetstar like the plague""","Spoke to 3 different phone operators for a particular customer service issue regarding vouchers, was told 3 different answers, placed on hold repeatedly (cumulatively for well over an hour), ended up receiving a case number and was never called back. Atrocious customer service, would avoid Jetstar like the plague.",,Couple Leisure,Economy Class,Sydney,Phuket,,April 2022,1.0,1.0,1.0,1,no,,,
2022-04-20,2,Australia,Not Verified,"""not the seat I had paid for""","I booked one month prior a Melbourne to Bangkok business class flight for 16th April. All was going well until I got to my allocated aisle seat (2F) only to be told it had been changed to 3E a middle seat last row squashed in between two large people. I refused to sit in it as it was not the seat I had paid for. A ground staff member came on board and said they had the right to change seats based upon handicapped or disabled people. He said I should have read their terms and conditions (wtf?) & I wonder how many Jetstar staff have actually read them? I said I wanted to get off and he said ok, give me your ticket and I'll get your bags even if it meant holding up the flight for 1hr? He then found a seat for me front row bulkhead in the middle which reluctantly accepted due to a business meeting I had next morning overseas. There were two free seats I could have had but they were reserved for the poor flight crew who had a long 8.5hr afternoon flight to endure. I later discovered some Jetstar staff had asked checkin passengers if anyone wanted to upgrade to business class for $300.",,Business,Business Class,Melbourne,Bangkok,,April 2022,2.0,4.0,3.0,1,no,3.0,2.0,
