Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Recommended,Aircraft,Wifi & Connectivity
2023-06-18,1,United Kingdom,Trip Verified,"""At no time were we made aware of the changes""","We booked travel in December 2022 through Flight Centre with Scoot (TR17/304) departing Perth at 1800 hrs on 04 June 2023. On 03 June 2023 we did an online check in and discovered our flights had been cancelled and new flights booked departing 3 hours earlier. Had we not done an online check in we would have arrived at the airport and missed the rescheduled flight. At no time were we made aware of the changes either by Scoot or Flight Centre. Nor were we advised that our return flights from Ho Chi Minh had also been substantially altered so that what should have been a 2 hour transit became an 18 hour transit. More on that later. The flights were 2 hours late departing we were given some sort of child’s gift pack as compensation. Attempts to raise the matter have seen many emails sent without a plausible response. They now deny there was a booking at all and no longer respond. Just another junk low cost carrier, pity it’s backed by Singapore Airlines it reflects badly on them. After our return flight on the 18/19 June we won’t use them again. Wouldn’t recommend at all.",Couple Leisure,Economy Class,Perth,Ho Chi Minh,Singapore,June 2023,1.0,1.0,,,1.0,1,no,A320,
2023-06-12,1,Australia,Trip Verified,"""I tried to claim for damages""","My flight from Melbourne to Cebu was delayed by 15 hours last January 2023. So, I missed by mother’s surprised birthday celebration. I tried to claim for damages, but Scoot’s customer service just passed me to their insurer,. Scoot’s customer service wasn’t helpful, it felt like you were talking to robots from the other side. After I submitted my claim to their insurer, it took weeks before they responded. And every time they respond, they would keep asking the same set of documents which I already submitted. So approximately 4 months now and I haven’t received anything from them. Sometimes it is better to pay for a full-service flight which is a little bit expensive but with better service (after sales service) than budget airlines like Scoot.",Solo Leisure,Economy Class,Melbourne,Cebu,Singapore,January 2023,2.0,2.0,,,2.0,3,no,,
2023-06-10,2,Singapore,Trip Verified,"""flight was delayed for 5 hours""","My flight in February was delayed for 5 hours. It was a morning flight and they sent an email during midnight 3am telling me that flight been changed to noon. But when I was in airport the flight was further delayed for another hour. I boarded and the plane went on circling for another 1 hour. Flight attendees were rude to me. Scoot gave me a $30 voucher during the flight delay probably the only slight saving grace however, the staff at the counter was just playing her phone texting. Zero regards about customer service or much known to the delay. I bought the wifi, it was not even working despite trying countless times, it was not an entirely cheap flight either like those promotion deals, got it at $250+",Business,Economy Class,Singapore,Bangkok,,February 2023,1.0,,,,1.0,1,no,,
2023-06-05,1,France,Not Verified,"""flight was delayed"" ",Worst experience ever. Our flight was delayed at check-in. No reason given. No information on how we will be accommodated when we miss our connecting flight. Staff were terrible. My flight experience was terrible.,Couple Leisure,Economy Class,Hong Kong,Bali,Singapore,June 2023,1.0,1.0,1.0,1.0,1.0,1,no,,1.0
2023-06-03,2,Australia,Trip Verified,"""customer service team is horrible""","Flight Attendants were good but their guest experience / customer service team is horrible. Long wait time and generic responses and lack of empathy, Being in customer service, emotional intelligence is important. Another thing to note - if they offer you travel vouchers due to flight cancellations or rescheduling, BE Careful. They misrepresented by not telling me full info when I opted for voucher and when I tried to redeem a $20 meal, they took my flight amount.",Family Leisure,Economy Class,Berlin,Sydney,Singapore,December 2022,3.0,3.0,,,1.0,2,no,,
2023-05-23,1,Indonesia,Trip Verified,"""made me wait forever""","Scoot is not the airline for those who has mobility issues and needs a wheel chair. They made me wait forever, because i did not want to miss my flight, i had to walk to the far away gate.",Solo Leisure,Economy Class,Singapore,Surabaya,,May 2023,,,,,1.0,1,no,,
2023-05-11,2,Australia,Not Verified,"""The seat was broken""","I've flown Scoot several times and they've been okay but on this flight, I noticed something was wrong with my seat as we were taking off. When we were airborne, I got up to check it out. The seat was broken, the seat cushion not attached to anything and moving freely. I called the cabin attendant and she said she'd talk to her supervisor. She came back with one of their packaged blankets (more like a thin polyester sheet) and said I could use it as a cushion! Because the plane was full, they couldn't reseat me (there were seats in the Scoot Plus section) and the crew insisted that I sit on the broken seat for the entire flight. They had no interest in resolving the problem, just kept asking me what they should do! The cabin attendant ended up forcing a man to swap seats with me. Not really a good solution! Other than that, the flight was on time and no other problems.",Solo Leisure,Economy Class,Singapore,Seoul,,April 2023,1.0,1.0,,,5.0,1,no,,
2023-04-30,1,Singapore,Trip Verified,"""steer clear of Scoot in the future""","The flight was retimed and delayed by 3 hours, and not reflected onto FlightStatus or any other online flight tracking platform. The ground staff said that they will not update the feeds. My delay benefits for lounge access is automatically processed when delays are reflected on FlightStatus. I’m now waiting in the airport for the past 3 hours, with another 3 to go before my flight. My flight from Singapore to Perth was also delayed by 3 hours, of which 2 was spent in the cabin, on the ground, as staff tried to remove luggage of non-flying passengers who likely abandoned plans due to the flight delay. The flight crew made no attempt to explain the delay properly for the entire duration, leaving quite a number of passengers frustrated. If Scoot was a responsible operator, they should have timed their flights more properly and accurately. I will steer clear of Scoot in the future.",Family Leisure,Economy Class,Perth,Singapore,,April 2023,1.0,1.0,,,1.0,1,no,,
2023-04-28,3,Germany,Not Verified,"""an absolute no-frills airline""","This review refers to the flight with Scoot from Berlin to Bali (via Singapore) and the corresponding return flight a few weeks later. The points apply to all legs of the journey, although the long haul Berlin-Singapore and back is clearly more significant and determines the rating. Scoot advertises itself as the small subsidiary of Singapore Airlines (""The little sister of Singapore Airlines""). This is certainly correct in terms of content, but it is absolutely misleading. The service Scoot offers has nothing to do with the fantastic Singapore Airlines! Absolute nothing! Scoot is an absolute no-frills airline in its purest form, even worse than Ryanair. The passenger has to pay for everything. It starts when booking with the food on board, continues with extra luggage and seat reservations. If you don't pay for your seat, a seat will be allocated to you during check-in without any choice for you. And, on board, the customers' money continues to be taken out of their pockets. If you want to drink water on board, which real airlines serve free of charge and in abundance to their passengers for health reasons, you have to pay for it at Scoot. There is no entertainment programme on board, not even monitors to track the flight route. If you use your mobile phone, tablet, etc., you will definitely run out of power during a 12-13 hour flight. There are power sockets, but if you want electricity for charging, you have to pay for it. Regarding the service on board: The staff was always friendly and nice. Thank you for that. But, the food is pretty much the most unappealing and uncharitable food I have seen in my life. And it doesn't even taste good. You are given simple, welded food containers and a can of water. If you know real quality airlines, what Scoot delivers is a huge disappointment. On the return flight SIN-BER, the folding tables (several in my row) were so dirty. I guess they have not been cleaned for a long time. Thank god I had disinfectant and a cloth with me. Yikes, Scoot! In summary, it must be said that the customer at Scoot is apparently only there to flush money into the company. There is no question of appreciation of the flight guests. These flights fall into the category: There is no second chance for a first impression. We flew exactly twice with Scoot, the first and the last time. I would rather spend a little more money on a real, good airline than fly long-haul with Scoot again. For short-haul (up to about 3 hours, it's ok).",Solo Leisure,Economy Class,Berlin,Bali,Singapore,March 2023,3.0,2.0,1.0,1.0,4.0,2,no,Boeing 787,
2023-04-22,1,Singapore,Not Verified,"""I did not receive any goods""","Flew Scoot during their special collaboration with Pokemon where they sold merchandises like tote bags and bucket hats at rather high price tags. Ordered them anyway as my brother loves Pokemon. On the flight back to SG on 19 Dec 2022, they were supposed to pass me the tote bag that U ordered, but did not, and I forgot to ask them for it as well. I realised it after reaching back home, and sent them an email + made many calls to enquire about it over a 4-month period as they could not give me a response on it. Now, in Apr 2023, I finally received an outcome from them, only to be told that they cannot give me a refund nor the merchandise as ‘all items were claimed on the flight’. Worse still, sent me twice of the same thing when I asked for a justified response before radio silent like they did in the past few months. Totally speechless, as I did not receive any goods from them during my flight back.",Family Leisure,Economy Class,Jeju,Singapore,,December 2022,4.0,3.0,,,1.0,1,no,,
2023-04-20,3,Singapore,Not Verified,"""they just let everyone board""",Being a frequent flyer and spending extra in purchasing for priority boarding I see Scoot is not ensuring what is being promised to be delivered. Once the boarding is announced they just let everyone board without checking priority. Give zone 1 for boarding first but no different.,Business,Economy Class,Singapore,Xian,,April 2023,3.0,3.0,3.0,,3.0,1,no,,
2023-04-19,1,United Kingdom,Trip Verified,"""after a year I got my money back""","I booked a flight LGW-BKK on 05/22 Flight departing 18/9/22 On the 6/9/22 I emailed scoot to check the flight was still scheduled to leave on the 18th as I’d seen a few flights had been cancelled, they just ignored me. 18/9/22 (day of my flight) the Scoot app was telling me to go to the airport. The flight had been cancelled but I had not been informed. They just left me stranded. I had to buy another ticket at a cost of £700, had they informed me of the cancellation this would have been a lot cheaper. I claimed my entitled compensation from Scoot, to be told they had emailed me on the 7th July and informed me of the cancellation (and no it’s not in my junk folder, I checked with my private email provider) they had not made contact with me, they are basically just lying as this gets them out of having to pay compensation. I asked for proof of this and received something a 10 year old could have knocked up in photoshop, It did not prove anything. They take about 8 weeks to respond to you if you’re lucky, they don’t answer the phone for hours, when the call gets tricky they just hang up. Whatever you do, do not fly with this airline, they don’t care about you or any rights you have, they will just lie. Finally after a year I got my money back but no compensation.",Solo Leisure,Economy Class,Gatwick,Bangkok,,September 2022,,,,,1.0,1,no,787,
2023-04-18,1,Hong Kong,Not Verified,"""booked food but received none""","The worst airline ever. I booked food but received none. I bought more but it was awful, they didn't even give water. The flight was delayed of course! The toilet stank. Never again.",Family Leisure,Economy Class,Hong Kong,Surabaya,Singapore,April 2023,1.0,1.0,1.0,1.0,1.0,1,no,,1.0
2023-04-06,1,Estonia,Trip Verified,"""no commercial gesture from them""",They changed our flight which was scheduled for 4:00 p.m. to an 8:15 a.m. flight. We had no commercial gesture from them.  Because of this schedule we couldn't buy any food at the airport because everything opened at 8am. On a 6:35 flight no free drink or food offered. They forced us to pay for a place to be next to the children (30€) when in my opinion it should be automatic.,Family Leisure,Economy Class,Tokyo Narita,Singapore,,April 2023,1.0,1.0,,,1.0,1,no,,
2023-03-07,1,Malaysia,Trip Verified,"""please improve your service""","The flight was delay about 1 hour and no announcement was made early to inform. The flight only took 55 minutes to the destination but the flight delayed for an hour. My appointment in the evening was postponed and delay. Airline, please improve your service.",Business,Economy Class,Singapore,Ipoh,,March 2023,1.0,3.0,,,1.0,1,no,,
2023-03-04,1,Germany,Trip Verified,"""avoid for longer flights""","I wouldn’t recommend this airline for a long trip to anyone!!! It was the worst long trip of my life. I had to take 2 flights with scoot, from Manila to Berlin with stop in Singapore. The first one (Manila to Singapore) was just a couple of hours so it was ok, although it arrived delayed, so I had to run to catch my connection. The second flight from Singapore to Berlin should last 13 hours. I thought this plane would be much bigger an comfortable than the one before, but it was exactly as bad. It could fit more passengers, but everything was exactly as narrow. I would get no pillow, no blanket, no screen with movies, no food, not even a glass of water! I never experienced something like this on an intercontinental flight, I thought it was not even allowed. You could of course buy something but totally overprice, like a small cola for 5 euros. Honestly, low cost has gone too far. The seats were as small as the ones of a 2 hours Ryanair flight, but for 13 hours. In addition, it was so unfortunate that I had to sit in the very last row, in which you couldn’t put the chair back, not even just 1 cm. It was almost unbearable to be 13 hours sitting like this and with no refreshments. For a short 2-3 hours flight might be ok to use them, but if you can avoid this airline for longer flights, do it by all means!",Solo Leisure,Economy Class,Manila,Berlin,Singapore,March 2023,1.0,1.0,1.0,1.0,1.0,2,no,,1.0
2023-03-04,9,Indonesia,Trip Verified,"""better than other budget airlines""","Really reliable and warm Service. I went to singapore by Scoot and when I arrived at the airport, I realized that I left my Iphone in my seat pocket. I saw the Cabin Crews and Captain Pilot just went out from the plane and I explain to him what happened. Captain Kelvin was helping me to get my Iphone back. Scoot Cabin Crew for the next flight passed me my Iphone after Captain Kelvin asking his colleagues to help me. Thank You so much Captain. Not because of the phone price, but the data inside is very important to my next big project. Me and My Family Thank you so so muchh for your kindness and willing to spend your time to help us.  The Journey was smooth, the cabin crews very kind and helpful. Clean and quite spacious for budget airlines. Much better than other budget airlines.",Family Leisure,Economy Class,Jakarta,Singapore,,February 2023,5.0,5.0,5.0,4.0,5.0,5,yes,,4.0
2023-02-02,1,Singapore,Trip Verified,"""promised priority check in ""","As an elite gold flyer I am promised priority check in and best seats available, I got neither. Now I am on Scoot to Bangkok from Singapore. Same issues though this time on cheaper ticket though still entitled to elite gold privileges. First world problem but if they don’t honor their promises what’s the point.",Business,Economy Class,Singapore,Bangkok,,January 2023,,,,,1.0,1,no,,
2023-01-30,1,Singapore,Not Verified,"""Stay away""","I decided to switch from Jetstar to Scoot, thought it would be better as it's with SQ. Nope. They changed my flight, didn't give another option. Been trying to contact them, no easy way...or any way. Stay away.",Business,Economy Class,Singapore,Bangkok,,December 2022,2.0,2.0,,,1.0,1,no,,
2023-01-29,1,Australia,Not Verified,"""first and last time I will fly Scoot""","Melbourne to Changi Airport, missed connecting flight TR466 to Kuala Lumpur due to delay in checking in and taking off time at Melbourne Airport by 2 hours. Arrived Changi Airport at 6.30 pm. Layover time at Changi Airport was 1 hour. No information regarding Covid Testing for transit. No clear instruction by cabin crew as to whether to proceed to Terminal 1. No staff at Scoot C-counter. Very confused, worried, exhausted and stressful because Air Asia and Thai Airways staff had to contact Scoot. Last flight to Kuala Lumpur was 7.30 pm. Stayed at Changi Airport till 17/1/23 for connecting flight to Kuala Lumpur at 9.30 am via TR453. The journey was supposed to take approximately 9 hours but it took more than 20 hours to arrive Kuala Lumpur. The long delay and uncertainties as to how and when I could arrive at Kuala Lumpur caused great inconvenience for family members to drive 2 days to pick me up at KLIA2. On arrival at KLIA2, lost luggage, waiting more than 2 hours at carousel. I contacted Scoot customer service but they were unable to assist. After numerous calls and emails, suitcase was finally delivered on 19/1/23. Not impressed at all. 27/1/23. From Kuala Lumpur to Changi Airport, the staff at Kuala Lumpur provided better service. The layover time at Changi Airport was 17.20 hours and incurring additional hotel bills. If direct flights, no hotels required. When boarded TR22, the take-off time from Changi Airport to Melbourne was again delayed by 1.5 hours due to transit passengers from Berlin. Cabin crew did not offer to load hand luggage into overhead lockers unless requested. Food was not served earlier and the meal was only served once in very small portion with additional waiting time of 20 minutes to heat up the food. I felt very hungry. No blankets and cushions were provided unless purchase. Total travel duration and layover time was approximately 26 hours. Very uncomfortable seats and the toilet is small.  Scoot do not feed adequately and provide comfort to passengers. This is the first and last time I will fly by Scoot.",Solo Leisure,Premium Economy,Melbourne,Kuala Lumpur,,January 2023,1.0,2.0,1.0,1.0,1.0,1,no,,2.0
2023-01-24,1,Australia,Trip Verified,"""Didn't even get to use the flight""","Didn't even get to use the flight, paid extra for a changeable fare and when my sister was ill I tried to change the flight to later in the year so that I could still use it and found out that they only post flights 2 months or so in advance so there is no way to use the flight. Waste of JPY 61,063.00. First time I flew with them when I was on the plane I discovered that they didn't provide water and they also would take a debit card so I had to do an 8hr flight with no water. Disgraceful.",Solo Leisure,Economy Class,Tokyo,Gold Coast,,January 2023,1.0,1.0,1.0,,1.0,1,no,,
2023-01-09,1,Australia,Trip Verified,"""they lost my checked baggage""",The flight was ok however they lost my checked baggage. It is four days now and so far all I have got is an email telling me they can’t find it. The people I have dealt with are very polite typical of Japanese but the lack of any progress is very concerning and has made the ski holiday a nightmare. I would not normally fly a low cost carrier for exactly this reason but was recommended the flight by the travel agent. I was sceptical but decided to go ahead with them on advice from the travel agent. Be warned if everything goes ok and your bags arrive with you you might save a few bucks but if they do the same to you as they have to me any cost savings are insignificant compared to the problems trying to retrieve your lost bags.,Solo Leisure,Economy Class,Perth,Sapporo,Singapore,January 2023,2.0,2.0,,,1.0,1,no,,
2023-01-06,2,Australia,Trip Verified,"""flight staff were highly uncourteous""","Firstly, I paid for full airfare for a Singapore flight ticket, which ended up as Scoot without a forewarning. Then, my original booking on 7th Jan 2023, got suddenly cancelled and was advised to take 6th Jan 2023, 02.00 hrs flight. I had paid for an additional leg-room seat on the earlier flight, which did not transfer to the new flight. We ended up in a non additional-legroom seat, though we had paid 330AUD extra for that. Also the flight staff were highly uncourteous. One has to go and fetch water, even if you request.",Family Leisure,Economy Class,Singapore,Sydney,,January 2023,1.0,1.0,1.0,,1.0,1,no,,
2022-12-18,1,Singapore,Not Verified,"""we were left high and dry after purchasing confirmed seats""","Scoot changed the aircraft at the last minute to a smaller one and offloaded a bunch of passengers including my family from a 9.30 am flight. So we were left high and dry after purchasing confirmed seats. We had to beg for seats on a later flight. They give us boarding passes for a 4pm flight, which was delayed by 2 hours, so we finally take off at 6pm! Also our baggage is handled so badly that my brand new suitcase came out on the luggage belt with black marks on it, looking like an old bag. Never want to use Scoot again! Horrible experience.",Family Leisure,Economy Class,Singapore,Bangkok,,December 2022,1.0,3.0,,,2.0,1,no,,
2022-12-01,8,Canada,Trip Verified,"""Definitely my airline of choice in SE Asia""","In my opinion, Scoot is one of the best low-cost carriers in SE Asia. Little sister to Singapore Airlines, they deliver a diluted version of a five-star airline to the budget-conscious traveller. The seats are just fine, and the legroom is better than on most budget airlines. Definitely my airline of choice in SE Asia.",Couple Leisure,Economy Class,Singapore,Chiang Mai,,November 2022,3.0,4.0,3.0,,5.0,4,yes,A320 CEO,
2022-11-16,1,Australia,Trip Verified,"""complaints are just closed""","I flew Soot Plus (slightly better than economy) on 24 July 2022 from Singapore to Gold Coast. This fare is more than three times the price of a standard seat as it is more spacious, greater reclining capability and a footrest. When I boarded the plane, there were two Defect notices (see attached) on my seat indicating that: 1. the reclining mechanism was defective and the seat would not tilt. 2. the head rest was defective and not operational. From 10:00pm until about 8:00am (an 8 hour period allowing for local time) I had to sit in a fully upright position in this seat with the defective ripped headrest that could only be partially used. I appreciate that the plane was fully booked and therefore I could not be moved to another seat. Cabin crew told me with sincerity that they would submit a report on the problem. It has now been just short of 4 months since I lodged my complaint to Scoot with no offering of a resolution. I have contacted Scoot on 2 occasions (which is a near impossible feat) since July and was told that it would be processed within a week. It is a direct deliberate lie? I have since written to the parent company Singapore Airline. They did not respond. If flying Between Australia and Asia do not fly Scoot. They are near impossible to contact and they do not care. And there is no complaint mechanism within Australia. A bargain is a bargain until you get stung. I have just contacted Scoot again and they have advised me that the case is closed. They haven't even reviewed or contacted me.  All complaints are just closed as they are received.",Couple Leisure,Premium Economy,Singapore,Gold Coast,,July 2022,1.0,1.0,2.0,,1.0,1,no,A320,
2022-11-04,2,Singapore,Trip Verified,"""refund should be made for overpayment""","I have been flying Scoot air to Penang and Bangkok since Covid subsided. Overall, the travel experiences have not been satisfactory. Recently, we paid for extra leg room seats 4D and 4C when the tickets were purchased online. When we checked in physically at the counter, the boarding pass were issued accordingly. However, after boarding the flight to Bangkok minutes just before the plane took off, the airline staff requested us to vacate the seats and move to the back row seats as though they did not know we had paid for front extra leg room seas (I shown them the receipts and boarding pass). Despite having secured 2 extra leg room seats as indicated in the boarding pass. Different staff appeared and indicated that the plane has been changed last minute and the current seats belonged to Scootplus and we must move to row 31 and 32. She took our boarding pass and use pen to amend the boarding pass seat number. We paid additional additional fare of SGD 190 for 2 to remain in Scootplus and requested for the refund of SGD 54 for extra leg rooms seats (2). After 2 weeks, still no news although the hotline said they would investigate and revert. The experience was certainly not something we cherished. It was ok to change plane due to unforeseen circumstances but refund should be made for overpayment. For any underpayment, we were happy to top up as well. Earlier experience to Penang also did not end well as date change of ticket online in the portal were not very smooth, very hard to make date change during May - June 2022 (the price differentials for flight/date change were much higher than buying a new ticket). Eventually, I just bought another tickets for the whole family instead of making travelling date changes.",Family Leisure,Economy Class,Singapore,Bangkok,,October 2022,1.0,2.0,3.0,1.0,2.0,1,no,,1.0
2022-10-30,3,Australia,Trip Verified,"""terrible level of service""","A terrible level of service and I flew premium. If all you're looking for is cheap fly them. Normally I travel with all my gear, but I had forgotten ear plugs. But never again.",Solo Leisure,Premium Economy,Singapore,Sydney,,October 2022,3.0,1.0,1.0,,2.0,3,no,Boeing 787,2.0
2022-10-28,1,Australia,Trip Verified,"""Scoot lost my luggage""","Scoot lost my luggage. I'm told they left it behind in Singapore where I was in transit for 4 hours; was also told on arrival at Sydney airport that it would be on the next available flight and I would get it back within 24-48 hours. Today is the 18th day since those assurances and promises were made I have received nothing but automated replies (the first few days) and zero response since. Frustrated at not being able to deal with a real person, I returned to the airport to chase up at the lost luggage counter after 7 days and I was told no, they never sent it back from Changi Airport. They said they would send a follow-up email to Singapore but if I wanted updates I would again have to call up their support line. And, as you guessed, their support line isn't manned, it drops out when you try to call, and my emails to their support inbox bounce back undeliverable because their ""inbox is full"".",Family Leisure,Economy Class,,,Sydney,October 2022,1.0,1.0,1.0,,1.0,1,no,,
2022-10-08,10,Australia,Not Verified,"""efforts have not gone unnoticed""","Flight out of Sydney and I was unable to board the plane. My family went ahead but I was left at Sydney. On checkin we had a good chat to David Scanlon, who was shocked when I later returned and was unable to board. David tried to change my booking but was unable to do so and advised I call the airline to amend my booking. On my way home David called me and told me he sent a page out to get my phone number. He told me he was able to change my booking free of charge , under the stressful situation I was in, having to leave my children. The way David went above and beyond was exceptional. This is our first time flying with Scoot, and thanks to David we will be returning. I will also be referring Scoot to all of my friends and family. Thank you David. Your efforts have not gone unnoticed. You are an example of what outstanding customer service is .",Family Leisure,Economy Class,Sydney,Phuket,Singapore,October 2022,5.0,5.0,,,5.0,5,yes,,
2022-09-28,1,Germany,Trip Verified,"""cancelled my flight in May 2022""","They cancelled my flight in May 2022 from Berlin to Athens 2 hours before take-off. For 5 months I have been trying to get my refund. According to EU passenger rights, they have to refund 400€ for the cancelled flight. No way to reach them besides through their buggy and useless online form. I can automated emails every other week that my case is still in progress.",Solo Leisure,Economy Class,Athens,Berlin,,May 2022,,,,,,1,no,,
2022-09-27,2,Australia,Trip Verified,"""We had premium economy seats""","We were attracted by the lower cost but we will never fly with Scoot again. We had premium economy seats that were comparable to economy seats in economy. The boarding was quite efficient; but comfort, service and my food were of very poor quality. The cabin was not clean, we used tissue paper to clean table and armrests. A drink of water was offered in the first hour before a plastic covered menu was passed around, only two meals were available. No free water, no free snack was offered during the flight, an announcement informed passengers that they had received their free meals and would have to pay for any more food or drinks. Blankets were distributed upon request. Large, yellow, thin polyester squares that were not providing me any warmth.",Couple Leisure,Premium Economy,Singapore,Melbourne,,September 2022,2.0,2.0,1.0,,2.0,2,no,Boeing 777,
2022-09-24,1,Thailand,Trip Verified,"""had to pay extra for excess baggage""","We had booked and paid for a Bangkok to Singapore flight before COVID as Scoot Plus. It was cancelled because of the crisis. We got a voucher and thought we could fly Scoot Plus business class with the voucher later. The voucher was only a substitute for a refund that we were entitled to.  This is not the case with Scoot. When we booked the replacement flight, there was only Business Class in a Boeing on the route from Bangkok to Singapore, on the return flight only Economy due to a different aircraft and we had to pay extra for excess baggage, for the seat and for boarding first. In total, we paid 47%  extra for worse conditions. On the outward flight, everything worked okay. Scoot cannot organise an immigration fast track for Business Class customers. Long before the trip, we received an email that the departure time had changed. The reason for this was another change of aircraft back to Boeing. That there was now a Business Class after all was not disclosed. At check-in, we were given an Eco ticket in the last row of the plane, although we had been confirmed seats in the first row and had paid a surcharge for them. There was no mention of the paid first boarding. Only after a massive protest the check-in manager gave us seats a little further forward. We were told that Business Class was fully booked. Arriving at the gate, we found an inadequate small waiting room in which the passengers had to wait standing up like sardines in a can. I asked a Scoot employee for a seat and received a shrug. There was no mention of priority boarding.",Business,Business Class,Bangkok,Singapore,,September 2022,3.0,3.0,1.0,,1.0,1,no,Boeing 787,
2022-09-10,2,Singapore,Trip Verified,"""Scoot is a horrendous airline""","Scoot is a horrendous airline. It starts with a totally useless and non-functioning website. Payments don't work properly. Unable to check in. Every time you log on you have to verify yourself via SMS, even though you are you using the same browser. Scoot's website is the worst of any airline out there. Flights are often delayed. I will try to avoid Scoot at all cost!",Solo Leisure,Economy Class,Phuket,Singapore,,August 2022,2.0,2.0,,1.0,2.0,3,no,A321,
2022-09-07,1,Australia,Trip Verified,"""Worst of the worst in budget airlines""","Singapore to Sydney. Worst of the worst in budget airlines. Smallest seat, tightest legroom and noisy aircraft. I don't know how the Singapore government allowed these guys to fly. Biggest regret was thinking Singapore Airlines partner which turned out to be poor. Wouldn’t recommend to anybody. Comfort was -100. Hardly room to move.",Solo Leisure,Economy Class,Singapore,Sydney,,September 2022,1.0,5.0,1.0,,3.0,1,no,,
2022-08-25,1,Australia,Trip Verified,"""Cancelled flights for international flights home""","Disgusting service. You pay what you get for. Cancelled flights for international flights home with no notification or compensation. We were on hold for an hour and a half on our holiday and also on chat with no resolution outside of a refund which will not alleviate the issue as I still need to get home! We had to book another connecting flight and accommodation, and lost a day off of our holiday in addition to lost money with our existing accommodation. The customer service was pathetic with no complaints department or management to speak to. Completely apathetic response and no care whatsoever. Really unhappy and will never fly with this airline again. Despite paying for your meals you will get a burnt and crusty tiny meal for a 12 hour leg. Despite pre ordering meals you won't get what you ordered for. No complimentary meals or even snacks despite long haul flights. Worn and dirty airplanes with broken seat belts and arm rests. Pay extra and go with a reputable airline that will treat you like a human being and won't ruin the end of start of your vacation.",Couple Leisure,Economy Class,Athens,Melbourne,Singapore,August 2022,1.0,1.0,1.0,,1.0,1,no,,
2022-08-21,4,Australia,Trip Verified,"""next time will pay extra""","We flew with Scoot on our Singapore-Sydney route on the way back from the UK, which we booked through Singapore Airlines.  However, we were disappointed. We paid a little bit extra for a ""Scoot in Silence"" seat, which was like a small economy area where children weren't allowed. Food was pretty terrible (but included) however drinks were not included, except for water. We had brought our own water on board but had to pay for any extra drinks, which I wasn't happy about. No entertainment system, so come prepared with your own devices. I wouldn't fly Scoot again, and next time will pay extra to fly with Singapore Airlines the whole way.",Couple Leisure,Economy Class,Singapore,Sydney,,July 2022,2.0,2.0,1.0,1.0,3.0,3,no,Boeing 787,1.0
2022-08-15,1,United Kingdom,Not Verified,"""I'm still waiting for my refund""","Scoot changed my flight date to 3 days earlier for operation reason, and said I can either take this new flight or get a refund. I couldn't change my plans at such short notice, so I requested a refund in mid-June 2022. It's now been over 2 months (nearly 3 months) and I'm still waiting for my refund. I've called them every few weeks, and each time, they tell me that my refund is at the last stage of the process, pending final manager approval. They tell me it'll be 15 days, but they tell me this each time they miss this deadline. They won't let me talk to a manager, and they won't let me contact the refunds team directly.  Scoot has missed its own refund deadline of 30 business days by a huge margin. Upon my latest call, they said they'll refund me within 3-4 weeks - despite having already failed to pay for nearly 3 months.",Solo Leisure,Economy Class,,,,June 2022,,,,,,1,no,,
2022-08-08,7,Indonesia,Trip Verified,"""Boeing 787, quite comfortable""","Short hop from KL to SIN with Boeing 787, quite comfortable. Lots of thunderstorms on route, looked very dramatic but actually we did not experience major turbulence. Long stopover in SIN (could get out of the terminal and take a hotel in the city) and next day flight to Manila. Booked meal service, which was ok (nothing really memorable) and emergency exit. Both at acceptable rate.",Business,Economy Class,Kuala Lumpur,Manila,Singapore,May 2022,4.0,3.0,3.0,,5.0,5,yes,Boeing 787 / A320,
2022-08-07,1,Ireland,Trip Verified,"""appalled by how little care""","Berlin to Denpasar via Singapore. First of all, they do not offer water on a 13.5 hour flight. If that's not illegal, it should be. They lost my bag for a week and offered me ZERO help to get it back - I eventually got it back through my own efforts by making dozens of expensive calls every day for a week to the ground staff at the relevant airports. It was extremely stressful. Every time I asked for help from Scoot, if I actually got through which was rare, the person on the end of the phone said it was not their role to help with that and could not even direct me towards someone who could. I filed a claim for compensation for the expenses incurred in the week without my luggage (not to mention the stress of it!) and two months have gone by and they are still ignoring my emails. I'm absolutely appalled by how little care they have for rectifying a mistake they have made. A joke of an airline. Not worth the risk of flying with them. AVOID!!!",Solo Leisure,Economy Class,Berlin,Denpasar,Singapore,June 2022,1.0,1.0,1.0,1.0,1.0,1,no,,1.0
2022-08-01,3,Singapore,Trip Verified,"""Luggage was lost when landed""","Luggage was lost when landed in Kuala Lumpur. When landed back in Singapore, went to luggage Center and the person said the luggage did not even leave Singapore and untraceable once it was checked in. But they still does not know where it is. Called the number they gave but no one has been picking up after one whole day of calling.  Really frustrating and disappointing",Couple Leisure,Economy Class,Singapore,Kuala Lumpur,,July 2022,2.0,3.0,,,1.0,1,no,A320neo,
