Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Ground Service,Value For Money,Recommended,Food & Beverages,Inflight Entertainment,Wifi & Connectivity,Aircraft
2020-01-10,1,United Kingdom,Trip Verified,"""refused us access to the pod hotel""","Kuala Lumpur to Bali. Our 1030 departure had a 7h delay. It took over an hour for staff to come to the gate to explain that the flight was delayed and to deal with customers. There were 3 of us that wanted to remove our baggage, be refunded and hop over to the other terminal to take a 1230 MAS flight to Bali instead but AirAsia took so long to get staff we realised we would never make it. Staff agreed to move us to a 1615 Air Asia flight to Bali however we had to go back outside to the chaos of baggage drop and immigration. After standing fighting for another hour, they eventually agreed to move our luggage over to the new flight without us having to do it all ourselves. They refused us access to the pod hotel in the departure lounge or their Lounge. They provided one bottle of water for 7h and offered a KFC in that time. Staff pushed us around the houses to talk to operations managers to try and obtain lounge access to relax.",Couple Leisure,Economy Class,Kuala lumpur,Bali,,January 2020,1.0,1.0,1.0,1,no,,,,
2020-01-08,3,Australia,Trip Verified,"""could not sit together""","Hanoi to Kuala Lumpur. We had 4 flights booked and paid together but could not sit together unless we paid additional fees at check in to get seats changed. This is a revenue raising exercise. In addition to that the staff were very rude to me and appear to go out of their way to be unhelpful. In flight service is not existent, flights with not even a free drink without incurring additional costs. Aircraft very cramped spaces, not comfortable.",Couple Leisure,Economy Class,Hanoi,Kuala Lumpur,,January 2020,1.0,1.0,1.0,3,no,,,,
2020-01-04,1,Malaysia,Trip Verified,"""waste 1 hour time at the counter""","Kuala Lumpur to Cochin. I had a very awkward experience with AirAsia. My booking was confirmed directly by the service agent of AirAsia. When I reached to counter I was told that the flight was overbooked. I then had to keep on begging the lady at the counter for an hour to let me fly. When I asked the executive at the counter to call the manager, she said now you can travel and I could fly, I just had to simply waste my 1 hour time at the counter with no reason.",Business,Economy Class,Kuala Lumpur,Cochin,,December 2019,1.0,3.0,1.0,1,no,3.0,,,
2020-01-04,10,United States,Trip Verified,"""love flying from this airport""",Utapao to Kuala Lumpur. I travelled from my favorite airport from Utapao. I love flying from this airport as it is so small. I used the new terminal for the first time. I will fly them again.,Solo Leisure,Economy Class,Utapao,Kuala Lumpur,,November 2019,5.0,5.0,5.0,5,yes,,,,
2020-01-03,1,Indonesia,Trip Verified,"""never fly this airline again""","Jakarta to Kuala Lumpur. Not recommended if going on a business trip! Long delays, irresponsible staff, improper handling of baggage. Will never fly this airline again.",Family Leisure,Economy Class,Jakarta,Kuala Lumpur,,December 2019,1.0,1.0,1.0,1,no,,,1.0,A320
2019-12-28,4,Canada,Not Verified,"""recommend a different airline""","Chiang Mai to Phuket. Worst airline. They charged my family of Four 5,000 bht ($227 CAD = $56 CAD/person) upon arrival to check our bags. They go by weight. Apparently you can pay the fee online which is 400 bht but they don’t advertise it much. They also offer the lower price if you’re 4 hours early (who would come that early). When we complained they said that’s how it is and weren’t accommodating. Also no flight entertainment or food service on our flight. Would highly recommend a different airline.",Family Leisure,Economy Class,Chiang Mai,Phuket,,December 2019,3.0,3.0,2.0,2,no,1.0,1.0,1.0,
2019-12-20,1,Malaysia,Trip Verified,"""not see any crowd at the gate""","Kuala Lumpur to Shenzhen. I came for an early flight to China at 610am, made sure there won't be any screw ups. Boarding gate was P1 on the boarding pass, and I waited for over an hour, and I realized things wasn't right when I do not see any crowd at the gate. Went to check on the screen and it shows the boarding gate is Q7, and it has closed.  Explained my situation to the staff, looked at me and said there's 3 other passengers with the same situation but they all boarded the flight. Other staff told me to work things out at the service counter. Went to the service centre and things went back and forth where it felt like they are trying to look for any fault in the customer. They gave me a replacement flight, which is at 420pm, and two RM20 meal voucher. The summary is that the replacement tickets are a courtesy/favour and I should appreciate it.",Solo Leisure,Economy Class,Kuala Lumpur,Shenzhen,,December 2019,,,1.0,1,no,,,,
2019-12-16,8,Hungary,Trip Verified,"""more comfortable window seat""","Kuala Lumpur to Hanoi. One of the first flights of the day, we departed on time. I managed to get a more comfortable window seat and also bought a meal which was delicious. I also used the 10 GB free wifi allowance.",Solo Leisure,Economy Class,Kuala Lumpur,Hanoi,,December 2019,4.0,4.0,4.0,4,yes,5.0,,5.0,
2019-12-15,7,Indonesia,Trip Verified,"""a good selection of food for purchase""","Jakarta to Kuala Lumpur with AirAsia. Mobile check in allowed me to avoid queuing in Jakarta. The plane left on time. It was pretty full and my middle seat felt quite uncomfortable. Other than that, the usual AirAsia flight with business like crew and a good selection of food for purchase.",Solo Leisure,Economy Class,Jakarta,Kuala Lumpur,,December 2019,3.0,4.0,5.0,4,yes,5.0,,,
2019-12-13,6,Germany,Trip Verified,"""good but not special""","Denpasar to Kuala Lumpur. The check-In was well organized and the staff friendly. The departure / arrival was on time and the aircraft made an average maintained impression. The seat spacing was felt a bit lower than other airlines. Food and drinks were, for a low-cost airline, only for a fee. Overall, a good but not special experience.",Solo Leisure,Economy Class,Denpasar,Kuala Lumpur,,November 2019,3.0,2.0,4.0,3,yes,,,,A330-300
2019-12-01,3,Malaysia,Not Verified,"""Significant delay""","Bangkok to Medan. Significant delay and no real apology. Flew QZ155. It only started to board at the time it should have been leaving, with no obvious reason (eg the incoming aircraft had been on time). Then crew running around and finding a passenger was missing. But then it took a further 30 minutes to find and offload the luggage from that passenger. So finally a delay of almost an hour. Not really acceptable on a 2-hour flight.",Solo Leisure,Economy Class,Bangkok,Medan,,December 2019,3.0,2.0,1.0,4,yes,,,,
2019-11-24,8,Singapore,Trip Verified,"""definitely pick AirAsia again""","Singapore to Kuala Lumpur. Even after adding in seat selection and 20kg of baggage, the price was still affordable and cheap considering that I only booked a month before the flight. There were problems with the self check-in as I had checked in online with AirAsia, luckily this was sorted out very quickly. Immigration at Changi Airport was very fast. The plane left on the dot at 7:35am and the gate my plane was at was the closest to the runway, so we were in the air very quickly. The seat pitch was just about okay for my height, and it was comfortable for a short flight. The plane was one of the older ones in AirAsia's fleet, not fitted with the sharklets seen on the newer A320s, and the cabin did show signs of ageingty. As it was a 40min flight and a budget airline, there was not much the cabin crew had to do but they were warm and friendly. One interesting perk about this flight was the ability to stream the inflight entertainment into my own device without needing to download a seperate app; all I had to do was to connect to the inflight WiFi which was enabled even on this short hop and I found it very unique, setting aside AirAsia from other budget carriers, and the selection was quite generous too, with some movies, documentaries and even games. The flight landed in Kuala Lumpur early and we had a short taxi into KLIA2, very quickly we were disembarking. Overall, given AirAsia's punctuality and cost, I would definitely pick AirAsia again if I'm travelling to Malaysia or want to travel on a budget.",Solo Leisure,Economy Class,Singapore,Kuala Lumpur,,November 2019,4.0,5.0,4.0,5,yes,,4.0,4.0,A320
2019-11-23,1,India,Trip Verified,"""seats are horrible""",Bengaluru to Bali via Malaysia. Worst international flight I have ever travelled. No meals even after paying thousands of bucks for the flight. Flight seats are horrible. I would not prefer travelling in AirAsia.,Family Leisure,Economy Class,Bengaluru,Bali,Malaysia,November 2019,1.0,3.0,3.0,1,no,1.0,1.0,2.0,
2019-11-22,1,United States,Trip Verified,"""We had to rebook new tickets""",We had to rebook new tickets halfway through our trip due to the booking of flights too close together to make baggage transfer despite paying extra baggage charges and being  told our bags would transfer. A  rude customer service employee at  Kuala Lumpur airport told us it was our fault since if they had told us we did not have enough time then we would have done it anyway.,Solo Leisure,Economy Class,Siem Reap,Krabi,Kuala Lumpur,November 2019,1.0,1.0,1.0,1,no,,,,Airbu
2019-11-21,9,India,Not Verified,"""an excellent customer experience""","AirAsia have provided an excellent customer experience throughout our journey. The cabin crew were very polite and helpful. I have found that most of the passengers traveling from Hyderabad to Mumbai are local travelers with ""Telugu"" as the native language. The announcements made in flight are in ""English"" and ""Hindi"" languages. It would be very helpful for the passengers if the announcements in flight are made in the native language for the domestic flights. All the elderly passengers would be comfortable with this change. Hope to see this change from my next flight with you!",Family Leisure,Economy Class,Hyderabad,Mumbai,,October 2019,4.0,4.0,4.0,4,yes,4.0,2.0,3.0,
2019-11-16,1,India,Trip Verified,"""no alternative was given""","Delhi to Goa. 2.5 hour flight was delayed by over 2.5 hours and no alternative was given to take another flight instead. If they had just informed appropriately instead of informing about the delay half an hour at a time, we could have taken a different flight.",Business,Economy Class,Delhi,Goa,,November 2019,1.0,1.0,1.0,1,no,1.0,,,
2019-11-13,1,Maldives,Trip Verified,"""they said I was too late""","I chose Air Aisa because I was travelling with a child and no other directs flight to KL was available. First of all they force people to use PSA which sells expensive tickets by making a bank error on online service if using cards from Maldives. They lost my luggage cover, which was never found after struggles.  On my second sector to Kota Bharu- the que was long and when I reached to drop off the baggage (like a minute) they said I was too late and send me from one counter to another and made me wait and said I can board the plane without the luggage (while travelling with a 2 year old). No other options. Had to buy buy 2 extra tickets for me and the child. 3. When I left the trolley at a side, Air Asia staff told me to take it to the another location, I said I cannot leave my baby behind to put the trolley back, he mumbled rudely.",Family Leisure,Economy Class,Male,Kota Bharu,Kuala Lumpur,November 2019,2.0,2.0,1.0,1,no,3.0,,,
2019-11-13,3,Netherlands,Trip Verified,"""we had to buy new tickets""",Singapore to Bali. What a disappointing experience. We went to automatic check in. That machine worked for only one of us. The other one had to go to the counter to check in. Later once we already passed the customs we found out about not sitting next to each other and asked for a correction. This could only be changed if we were willing to pay extra. I asked if they could put us on an earlier flight so that I would be home sooner. This was possible but we had to buy new tickets!,Couple Leisure,Economy Class,Singapore,Bali,,November 2019,3.0,3.0,3.0,2,no,,,,
2019-11-09,7,United States,Not Verified,""" most unique personal touch""",Our flight on November 2 from Lombok to Denpasar became memorable only because of the inflight service. A talented steward serenaded the passengers with a most lovely original song that soothed and enhanced the flight. A most unique personal touch we've never experienced in all our years of international travel.,Couple Leisure,Economy Class,Lombok,Denpasar,,November 2019,3.0,5.0,4.0,4,yes,1.0,,,
2019-11-09,1,United States,Trip Verified,"""my last flight them""","Kuala Lumpur to Jakarta delayed by 2hrs 50 mins. This is my last flight them. If you have connecting flight this airline will get you in trouble. This airline seems to attract people attracted to low price and fly point to point only, where long wait in the terminal and extensive delays does not matter.",Solo Leisure,Economy Class,Kuala Lumpur,Jakarta,,November 2019,1.0,2.0,1.0,2,no,2.0,,,
2019-11-06,1,United States,Trip Verified,"""utterly unprofessional""","Tagbilaran to Manila. AirAsia is extremely gimmicky and unprofessional! I've flown with very many different airlines for almost 40 years now and I've never ever experienced such unprofessional treatment. They are the only airline that counts your personal/cosmetic bag as part of carry-on baggage weight. However, they only selectively enforce this policy so that makes them utterly unprofessional. I chose to fly with AirAsia for the first time because they had the cheapest cost for my round trip from Manila to Tagbilaran/Panglao, Bohol in the Philippines. On the Manila, to Tagbilaran flight, my carry-on baggage and personal/cosmetic bag were not even checked or weighed at all, but on my flight back the customer service agent chose to enforce their stupid policy and made me pay an extra baggage fee. The worst part about this experience was that I was made to open and repackage my personal/cosmetic bag, carry-on bag, and checked baggage while I was at the check in counter. I was struggling to get the weight just right for them and a security guard noticed me struggling and whispered to me to just take out my laptop from my carry-on baggage because then AirAsia won't count it as carry-on weight if I only take out my laptop and carry it by hand. It's so damn ridiculous! Why didn't the customer service agent just tell me this and save me money, time, embarrassment, and frustration in the first place? Why did she make me go through all that trouble and money and time wasted? I also asked this customer service agent to let me speak with the manager and she just kept telling me ""ok"" or ""they're busy right now."" I also noticed that very few other passengers were made to weigh both their carry-on and personal/cosmetic bags as I were. This horrible airline is the worst airline I've ever flown on in my almost 40 years of flying all over the world on so many other different airlines and I will never ever fly with this joke of an ""airline"" ever again. If you want professional and fair service do not ever fly with Air Asia! They're just a gimmick and a huge joke!",Family Leisure,Economy Class,Tagbilaran,Manila,,October 2019,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2019-11-05,9,Malaysia,Trip Verified,"""seats are quite comfortable""","Kuala Lumpur to Guangzhou. The 2 year old A320 neo aircraft has a 186 seat configuration. The seats are quite comfortable, although legroom is quite small. The toilets at rear are very small. The taste of food is good. Our flight departed on time and reached Guangzhou 15 minutes ahead of schedule. Generally, we have no complaints on the flight.",Family Leisure,Economy Class,Kuala Lumpur,Guangzhou,,October 2019,3.0,4.0,4.0,5,yes,4.0,,,A320 Neo
2019-11-05,3,Norway,Trip Verified,"""Worst seats I have experienced""","Hanoi to Bali via Kuala Lumpur. Worst seats I have experienced in a plane. Be sure to choose a seat that's possible to recline. The distance between the seats are tiny. Me and my girlfriend got seats as far away from each other as possible. Asked if it was possible to get a seat next to each other but no. Even I saw later that there were two seats next to each other.  The Airasia part in KLIA is also bad, really crowded and not many places to eat/shop.",Couple Leisure,Economy Class,Hanoi,Bali,Kuala Lumpur,October 2019,1.0,2.0,3.0,3,no,,,,A320
2019-10-31,2,Canada,Trip Verified,"""ticket did not include checked bags""","Delhi to Bali via Kuala Lumpur. When I booked this low-cost airline flight online I saw no indication that the ticket did not include checked bags.  I ended up paying $400 additional for checked baggage. Onboard the flight there is no free meal, no free water, no in-flight entertainment screen, renting a blanket is 10MYR.",Couple Leisure,Economy Class,Delhi,Bali,Kuala Lumpur,October 2019,3.0,4.0,3.0,1,no,1.0,,,
2019-10-18,3,Indonesia,Not Verified,"""improve the service or good luck in the future""","I flew from Cengkareng Airport in Jakarta to Changi in Singapore. There are too many bad things flying with this airline. I paid about $250 for a two-way ticket Jakarta to Singapore. At the website, I had to pay an additional $30 for check-in baggage. When I checked-in, the female staff were rude. No greetings and pretending to be busy like I was invisible. And them the flight was late. Scheduled to depart at 11.20 am. At 12.30 pm the plane was still on the runway waiting for take off. As a result, the flight was late about an hour arriving in Singapore. I had a meeting at 4 pm on the same day and I was late and it was embarrassing because they thought I was not punctual. When in fact, it was caused by Air Asia. And then, when returning home, the staff in Singapore were rather mute. They just saw us, say nothing and kept working. Hello? Are you human or robot? Can you talk? Wow? They call Air Asia a company? Even a 1 star hotel in Singapore does a better service. I would say improve the service or good luck in the future.",Business,Economy Class,Jakarta,Singapore,,August 2019,3.0,1.0,1.0,2,no,,,,
2019-10-15,1,India,Trip Verified,"""One of the most lowest grade airlines""","Hyderabad to Mumbai with AirAsia. One of the worst airlines ever seen who doesn't care about customers and who keep delaying flights indefinitely. Never ever travel by this airline as your important schedule is going to be gone, 100% guaranteed. One of the most lowest grade airlines.",Business,Economy Class,Hyderabad,Mumbai,,October 2019,1.0,1.0,1.0,3,no,,,,
2019-10-04,3,Malaysia,Trip Verified,"""they did okay service""","Hanoi to Kuala Lumpur. I had a 3 hour-ish flight with this one. The check-in was not really fast even though it's self-service and there are many security checks. The boarding time was delayed for roughly 20 minutes. The food I had on the flight (teriyaki chicken rice and curry puff) was just average. The crew is quite young, they did okay service. Seats can recline,  Legroom is terrible. The best thing you can do on this one is having a sleep. Don't choose this airline if you can afford any other options.",Solo Leisure,Economy Class,Hanoi,Kuala Lumpur,,October 2019,1.0,2.0,1.0,2,no,2.0,,,A320-200
2019-10-02,1,Malaysia,Trip Verified,"""by far the worst experience""","Kuala Lumpur to Kota Kinabalu with AirAsia. Poor airline with excessive seat rows and extremely tiny seats. Flights were delayed on both ways with no compensation. Delays were an hour and felt like the delays were somewhat on purpose for the airline to save money. When boarding gates, no personnel came to check details and everyone just stormed into the gate. This is by far the worst experience I ever had on an airline. Only travel on this airline if you like to arrive late to your destination.",Business,Economy Class,Kuala Lumpur,Kota Kinabalu,,September 2019,1.0,1.0,1.0,1,no,1.0,1.0,1.0,
2019-09-30,9,United States,Trip Verified,"""Cabin staff were humorous""",Langkawi to Kuala Lumpur. The flight was delayed one hour due to late arrival of aircraft. A little rough in parts due to the weather. Cabin staff were humorous and that made a big difference.,Solo Leisure,Economy Class,Langkawi,Kuala Lumpur,,September 2019,4.0,4.0,4.0,5,yes,,,,A320
2019-09-30,9,United States,Trip Verified,"""The flight was comfortable""",Kuala Lumpur to Denpasar. It was a flight delayed about one hour. The flight was comfortable and I slept a little. Did not purchase anything as I was not hungry. We arrived in Bali around 1:30am one hour late.,Solo Leisure,Economy Class,Kuala Lumpur,Denpasar,,September 2019,4.0,4.0,5.0,5,yes,,,,a320
2019-09-24,1,New Zealand,Trip Verified,"""I miss the flight""","Sibu to Kota Kinabalu. I miss the flight due the aircraft left 13 minutes before scheduled departure time. When approached the ground staff the only explanation they gave me, “is very common” so is my fault that I miss the flight. I had to reschedule all my appointment and pay extra for a new ticket. The worst experience by far.",Business,Economy Class,Sibu,Kota Kinabalu,,September 2019,,,1.0,1,no,,,,
2019-09-18,1,Thailand,Trip Verified,"""Chaos at check in""","Bali to Bangkok. Chaos at check in counter in Bali! The counter opened late and passengers were nervous. There were many flights leaving around the same time, passengers from earlier flights tried to skip the queue and go first making other passengers furious. There were no sign indicating which flight should check in first and which flight later, so passengers clustered everywhere in front of check in counters. Very unpleasant experience.",Solo Leisure,Economy Class,Bali,Bangkok,,August 2019,1.0,2.0,1.0,2,no,1.0,1.0,,
2019-09-18,1,Thailand,Trip Verified,"""refused to check in both bags""","Bangkok to Hat Yai. Lack of standard among ground staff. I pre-purchased 20kg of sport equipment baggage aiming to cover 2 bags of mine. (The combined weight of my 2 bags was 18kg.) A ground staff told me that I could only check in one bag and had to hand carry my other bag. Her reason was that the other bag could not be sport equipment! I've traveled with sport equipment several times with AirAsia, but this was the first time a ground staff refused to check in both bags because such staff believed that my other bag could not be sport equipment! I wonder why other ground staff from my previous flights never had a problem with me..",Solo Leisure,Economy Class,Bangkok,Hat Yai,,September 2019,1.0,1.0,1.0,2,no,,1.0,,
2019-09-15,3,South Korea,Trip Verified,"""not good customer service""","Bali to Seoul via Kuala Lumpur. AirAsia sent us an email the morning of our flight stating that they pushed back our departure. We contacted the customer service chat and tried to resolve the issue. The initial agent said that they would put us on an earlier flight out of our current location, however, they failed to provide us a case number. Additionally, they stated that the flight change would be processed in 2 to 3 hours, which is ridiculous. We had to contact a second customer service agent through their chat service. They then provided us with our case number but reiterated that they could not expedite our flight change any faster than the 2 to 3 hours quoted by the initial agent. When we asked if there was a number we could call the agent stated that they are in the process of closing all of their call centers. They did nothing to ease the stress of having a last-minute flight change that would make us miss a day of work. This was unhelpful and led to the last few hours of our vacation being stressful and having to re-arrange multiple plans. Definitely not good customer service.",Couple Leisure,Economy Class,Bali,Seoul,Kuala Lumpur,September 2019,3.0,4.0,4.0,2,no,,,,
2019-09-13,1,Malaysia,Not Verified,"""departs 10 minutes earlier""","Kuching to Kuala Lumpur. I arrived at the Gate 4 at the Kuching International Airport at 9.20 this morning (12 Sept 2019) for the 9.30  Kuching-KL flight, but the push-back for the plane had already taken place. The ground crew gave me an excuse as to why the plane departed 10 minutes earlier than scheduled. Consequently, I had to purchase a later flight (10.50 Kuching-KL flight) at a cost of RM349. If the plane in actuality departs 10 minutes earlier, then the Airline should state inform passengers that the flight was scheduled at 9.20, not 9.30 am.",Solo Leisure,Economy Class,Kuching,Kuala Lumpur,,September 2019,1.0,3.0,1.0,1,no,,,,
2019-09-10,1,Canada,Trip Verified,"""could not have been more unhelpful""","Hanoi to Denpasar via Kuala Lumpur. Customer service could not have been more unhelpful. We had credits towards a flight that “due to a bug in their system” they weren’t able to apply to our flight. Which is questionable - why should we pay for their error and incompetence? Every time we tried to rectify the issue we were issued a new agent and new complaint number and had to start from scratch every time. In the end, they said they were working to applying it towards our flight but it could also be used to pay for baggage. Of course the problem was never resolved, so we assumed we could at least check our baggage using our credits. Wrong. Apparently there is no systemic connection between the people at the air Asia counter and the customer service people online. The people at the counter were unhelpful at best. Ultimately, the customer service online system and the physical counter at airasia are somehow not linked. Very advanced system! We were told we had to request online 4 hours in advanced of the flight to use the credits towards our baggage. Of course this was not mentioned by customer service online. The people behind the counter were very rude and condescending and made no attempt to resolve the problem other than to tell us to contact online customer service - the same folks who had not responded to any of our recent inquiries/ noted we could just apply the credits to our baggage for our next flight. I have had the shit beaten out of me by a bunch of meth heads, and I preferred that to dealing with air Asia’s customer service.",Couple Leisure,Economy Class,Hanoi,Denpasar,Kuala Lumpur,September 2019,1.0,1.0,1.0,1,no,,,,
2019-09-02,1,Indonesia,Trip Verified,"""could not be more unhelpful""","Kuala Lumpur to Jakarta. Flight was delayed by 6 hours and AirAsia could not accommodate me getting on to another flight. I was travelling for a specific event which I could not miss, so I had to purchase another ticket on another airline at KL airport. AirAsia could not be more unhelpful and told me to go through their AVA chat line to request a refund for my missed flight. I did - only to find out that my case was never recorded. Just tried to process the refund again and ran into technical issues. The ordeal was extremely stressful and expensive, and their customer service is a joke.",Solo Leisure,Economy Class,Kuala Lumpur,Jakarta,,August 2019,,,1.0,1,no,,,,
2019-09-02,9,United States,Trip Verified,"""a nice flight with no problems""",Colombo to Kuala Lumpur with AirAsia. It was a nice flight with no problems. Boarding was orderly. Seats were comfortable and I got some rest. A nice budget airline. Will fly them in the future.,Solo Leisure,Economy Class,Colombo,Kuala Lumpur,,July 2019,5.0,5.0,5.0,5,yes,,,,
2019-09-02,9,United States,Trip Verified,"""Will fly AirAsia again""",Kuala Lumpur to Melbourne. This was an eight hour flight and I had three seats to myself. I was able to get some well earned rest on the flight. Boarding was good. Will fly AirAsia again.,Solo Leisure,Economy Class,Kuala Lumpur,Melbourne,,July 2019,5.0,5.0,5.0,5,yes,,,,A330
2019-09-01,1,Malaysia,Trip Verified,"""Still waiting to board, holiday ruined""","Kuala Lumpur to Nha Trang with AirAsia. Simply the worst airline in the world, many years running. I’ve been unfortunate enough to have to rely on this sorry excuse for an airline for years and not once, not once, have I ever had a good experience. Not a single flight that went smoothly, with no delay or some other nonsense. Awful service, always late, anything to take your money and always unpleasant. The only thing they haven’t charged us for yet is oxygen on board, which at some point it will probably be charged also, 10 cents per breath. If only there were other options for certain destinations. Today’s misfortune: retiming of flight the day before, only to come to airport, go to gate as indicated and find out there (i.e. at the gate) that there would be another delay on top of a change in gates. Still waiting to board, holiday ruined. Avoid this airline if you can. Pay more, get better service somewhere else.",Solo Leisure,Economy Class,Kuala Lumpur,Nha Trang,,August 2019,2.0,1.0,1.0,2,no,3.0,1.0,1.0,
2019-08-31,1,Malaysia,Trip Verified,"""Awful service, always late""","Kuala Lumpur to Nha Trang. Simply the worst airline in the world, many years running. I’ve been unfortunate enough to have to rely on this sorry excuse for an airline for years and not once, not once, have I ever had a good experience. Not a single flight that went smoothly, with no delay or some other nonsense. Awful service, always late, anything to take your money and always unpleasant. The only thing they haven’t charged us for yet is oxygen on board, which at some point it will probably be charged also, 10cents per breath. If only there were other options for certain destinations. Today’s misfortune: retiming of flight the day before, only to come to the airport, go to the gate as indicated and find out there (i.e. at the gate) that there would be another delay on top of a change in gates. Still waiting to board, holiday ruined. Avoid this airline if you can. Pay more, get better service somewhere else.",Couple Leisure,Economy Class,Kuala Lumpur,Nha Trang,,August 2019,1.0,1.0,1.0,1,no,1.0,,,
2019-08-21,1,United States,Trip Verified,"""7kg carry on limit""","Bandar seri Begawan to Bangkok via Kuala Lumpur. 7kg carry on limit makes no sense. With my camera and commuter stuff that's already nearly 7kg. It doesn't make sense that I can't take more. What's worse is that the company makes airport staff charge people fees to check in bag. I had a total of 14kg with two small bags. The staff made me check in my bag and charged me nearly 90USD ""for 0-15kg overweight"".  To top it all off, the staff lost my bags' special cover during transit and took no responsibility for it. They said ""that's not covered by us"" I will not fly AirAsia for these reasons.",Solo Leisure,Economy Class,Bandar seri Begawan,Bangkok,Kuala Lumpur,August 2019,4.0,2.0,1.0,1,no,,1.0,,
2019-08-20,7,Indonesia,Trip Verified,"""we landed 30mins ahead of schedule""","This was an evening flight. I was worried the flight might be delayed when taking-off or landing (because DMK and CGK packed with passengers!) However we landed 30mins ahead of schedule! The pilots were able to take off and landed the aircraft smoothly with little turbulence. This time I ordered Chicken Teriyaki (pre-book) and it is good. Rice and chicken not dry, well seasoned.",Solo Leisure,Economy Class,Bangkok,Jakarta,,August 2019,3.0,4.0,3.0,3,yes,4.0,,,A320-200
2019-08-20,7,Indonesia,Trip Verified,"""Food was just bad""","Actually I'm flying AirAsia Indonesia, the first flight of the day. Ground service is normal, quick check-in and baggage drop although when entering boarding gate (is it normal at CGK, one boarding gate could serve 2 different flights) did not put clear signs indicating which queue lines were for which flight, some passenger queued in the wrong line. Delayed take-off due to runaway congestion and bad visibility (maybe) but we still landed ahead of schedule. Food, I ordered Chicken Kungpao with rice and it was just bad. The rice and chicken were super dry, sauce too watery and taste like soy sauce. Not what you expect of kungpao chicken.",Solo Leisure,Economy Class,Jakarta,Bangkok,,August 2019,3.0,4.0,3.0,3,yes,4.0,,,A320-200
2019-08-14,1,Australia,Trip Verified,"""gave us a partial credit""","Perth to Denpasar Bali on Low Fare. Had to cancel trip, and Air Asia after 2 months of negotiating gave us a partial credit which had to be used within 3 months. We were Loyal BIG Members. After this lack of compassion we will be looking at other carriers to Asia from Perth.",Family Leisure,Economy Class,Perth,Denpasar Bali,,July 2019,4.0,4.0,4.0,1,no,,,,
2019-08-13,1,Taiwan,Trip Verified,"""doubt they will refund this fee""","Male to Taipei via Kuala Lumpur. I booked a extra meal and a value pack at the same time, so I would get 2 meals for each segment of flight. However, I only got one meal served. I left a feedback to their customer service several times,but I still can't get any proper response so far. They told me they will handle it on 04 July but it's 13 August now I still get nothing. Even their two agents also told me they had refund the some fee, however it became lies. I really doubt they will really refund this fee. What a terrible customer service?",Family Leisure,Economy Class,Male,Taipei,Kuala Lumpur,June 2019,1.0,1.0,1.0,3,no,1.0,,,
2019-07-26,1,Australia,Trip Verified,"""inefficient car hire partner""","Hanoi to Kuala Lumpur. I booked a hire car through the AirAsia website which upon selecting the car diverts you to cartrawler.com - I received a congratulations for booking email and an updated itinerary with hire car noted. 45 mins prior to departure I received another email starting a hire car cannot be provided, I attempted to book another prior to boarding but was unsuccessful so figured I’d just get one on arrival- this was unachievable at KLIA 2 as no office wanted the hassle an hour prior to closing. After an hour of phoning 24 hour hire car companies I gave up, which meant the Hotel that was booked and paid for in JB was not used and unable to be refunded and the trip planned to Legoland with my 5, 7 and 10 year old sons was now canceled. Shame on you AirAsia and your inefficient car hire partner  - you spoiled the highlight of our school holiday adventure",Family Leisure,Economy Class,Hanoi,Kuala Lumpur,,July 2019,3.0,1.0,2.0,2,no,,,,A320
2019-07-18,1,Taiwan,Trip Verified,"""customer service is terrible""","Kuala Lumpur to Taipei. I purchased two meals for my flight in advance, however, I only got one meal served. I tried to contact their customer service several times and in different ways (facebook and message), but I didn't get any response. Their customer service is terrible. I definitely won't fly with AirAsia next time.",Family Leisure,Economy Class,Kuala Lumpur,Taipei,,July 2019,2.0,1.0,1.0,1,no,1.0,,,
2019-07-13,1,Switzerland,Trip Verified,"""250 dollars for my baggage""",Bali to Siem Reap via Kuala Lumpur. They charged me around 250 dollars for my baggage of 24.4 kg although it did not let me buy luggage online beforehand.  What kind of airline has such costs and flexible luggage rate based on which check in agent you get?,Solo Leisure,Economy Class,Bali,Siem Reap,Kuala Lumpur,July 2019,,,1.0,1,no,,,,
2019-07-07,1,France,Trip Verified,"""Company to avoid""","Cebu to Penang via Kuala Lumpur. We paid an excessive price for 2 checked baggage because we could not do it online. On arrival we found our bag in a sorry state, I no longer had my cover, missing items, open bags. We are given a web page where to make a claim and as luck would not work. Company to avoid. If you do not want to pay more for your luggage than your ticket. FR: Nous avons payé un prix excessif pour 2bagages en soute car nous n'avons pas pu le faire en ligne. A l'arrivée on a retrouvé nos sac dans un piteux état, je n'avais plus ma housse, objets manquants,sacs ouverts. On nous donne alors une page internet où faire une réclamation et comme par hasard cela ne marche pas. Compagnie à éviter. Si vois ne voulez pas payer plus cher les bagages que votre billet d'avion",Couple Leisure,Economy Class,Cebu,Penang,Kuala Lumpur,July 2019,5.0,4.0,3.0,1,no,,4.0,,
