Airline,Review ID,Date Published,Overall Rating,Passenger Country,Trip Verified,Review Title,Review,Type Of Traveller,Seat Type,Origin,Destination,Layover,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Value For Money,Recommended,Inflight Entertainment,Wifi & Connectivity,Aircraft
indigo-airlines,823167,2022-12-27,1,United States,Trip Verified,"""Customer service was rude""","By far the worst flight experience I have had in my life. Customer service was rude, plane was uncomfortable. This was the last leg of my journey from America to India and I will be sure to never fly Indigo again. At least some of the lower service staff tried to be helpful, but the manager of the Bangalore Indigo crew  was the most unhelpful, rude, entitled person I have ever had the misfortune of meeting. I have never been treated so poorly by someone in the service industry and I hope Indigo realizes that this one person has cost them many customers.",Family Leisure,Economy Class,Bangalore,Trivandrum,,December 2022,1.0,1.0,,1.0,1,no,,,
indigo-airlines,822799,2022-12-25,4,Germany,Trip Verified,"""no complimentary service""",There are no complimentary service with normal ticket. Everything is chargeable. And the flight charges is high without any inflight service.,Solo Leisure,Economy Class,Rajkot,Mumbai,,December 2022,1.0,1.0,1.0,1.0,1,no,,,
indigo-airlines,821089,2022-12-17,7,India,Trip Verified,"""Aircraft was clean and fresh""","Their on time performance is best in India and so was my experience, departed on time and reached before time. Boarding experience was ok, T1 at Mumbai is little congested so not proper space to board in proper queue. Aircraft was clean and fresh, cabin crew were courteous. Seats are ok for short flights.",Solo Leisure,Economy Class,Mumbai,Bangalore,,December 2022,3.0,4.0,,4.0,4,yes,,,A320Neo
indigo-airlines,820999,2022-12-16,5,India,Trip Verified,"""boarding and departure were on time""",It's fares were similar to other full service carriers minus the in flight catering. After I was unable to travel on my previous flight to BOM I had to book another flight quickly so I managed to find this flight which came at a modest cost (compared to other carriers) due to the late night departure. The boarding and departure were on time.,Solo Leisure,Economy Class,Kolkata,Mumbai,,December 2022,3.0,3.0,,3.0,3,no,,,A320 Neo
indigo-airlines,820028,2022-12-11,3,India,Not Verified,"""they are unable to trace the bag""","I had a recent travel with Indigo from Dammam to Bangalore via Hyderabad. While transit one of my Hand Bag was missing from Hyderabad, upon asking the same the staff behavior was so bad that they didn’t even apologize for the missing bag and not bothered to answer properly. After waiting for one hour in airport finally they said that they have made a mistake and my bag was still in Hyderabad, they handed over a PIR stating that they will send the bag ASAP, after two days when called there is no proper response and still they are unable to trace the bag.",Business,Economy Class,Dammam,Bangalore,Hyderabad,December 2022,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,819247,2022-12-07,1,Canada,Not Verified,"""No initiative or drive from any staff""","A disgrace to Indian Civil aviation. In an almost empty airport and when web boarding pass wasn't available, it took the staff 2 hours to let old and young passengers check in their luggage. No initiative or drive from any staff to care for or even ask the elderly waiting in line and clearly uncomfortable or even share any words of comfort. A workforce alien to human emotions and welfare.",Solo Leisure,Economy Class,Doha,Cochin,,December 2022,2.0,2.0,2.0,1.0,1,no,2.0,2.0,A320
indigo-airlines,818879,2022-12-05,1,Philippines,Trip Verified,"""they did not let me check in""","I repeatedly asked for assistance in checking in. 2 crew with IndiGo uniform pointed me and made me line up for check in counter. After 30 minutes, it was then my turn. Counter said it was local flights only. The international counter to SG was on the other side. Because of them, I was not allowed because the international counter closed 5 minutes before I arrived. I kindly asked for help from the manager. But the manager only did bare minimum. My baggage is only hand carry and immigration forms has been submitted beforehand. Just needed to print boarding pass. It was a connecting flight booked through Kiwi.com. Even after explaining and begging, they did not let me check in. I asked for help in rebooking, but they did not even help in that. I had to waste a lot of money because of their incompetence. Totally not recommended.",Solo Leisure,Economy Class,Bangalore,Singapore,,December 2022,,,,1.0,1,no,,1.0,
indigo-airlines,818210,2022-12-01,8,India,Trip Verified,"""clean cabin with smiling cabin crew""","Though a LCC still best airline in India when on time performance is concerned, also clean cabin, ok seats and courteous staff, at any time yes for this airline. Departed on time, arrived the destination before time, what more was needed for a short flight, also clean cabin with smiling cabin crew.",Solo Leisure,Economy Class,Delhi,Jammu,Srinagar,November 2022,3.0,4.0,,4.0,4,yes,,,A320Neo
indigo-airlines,817996,2022-11-30,8,India,Trip Verified,"""staff were courteous""","A LCC so have your expectations low but certainly this LCC is better than many full fledged carriers. On time performance is their main USP, best in India so was my flight, departed and arrived on time. Aircraft was clean and fresh, staff were courteous, seats are ok for 1-2 hr flight. Snacks and beverages on payment or pre-booking.",Solo Leisure,Economy Class,Jammu,Ahmedabad,,November 2022,3.0,4.0,,4.0,4,yes,,,A320 Neo
indigo-airlines,816224,2022-11-21,1,Canada,Trip Verified,"""baggage allowance is 15kg checked-in""",Think twice before booking connecting flights with Indigo in India. The baggage allowance is 15kg checked-in / 7kg carryon includes personal item. Recently traveled from Amritsar to Delhi. Learnt the hard way. No thought given to Int'l travelers. Inflight not even a glass of water offered to passengers who have not ordered pre-book meal.,Family Leisure,Economy Class,Amritsar,Delhi,,November 2022,2.0,1.0,1.0,1.0,1,no,1.0,,
indigo-airlines,815605,2022-11-18,1,India,Trip Verified,"""airline had misplaced my luggage""","The airline had misplaced my luggage and after raising the issue at the Airlines baggage claims section, I was provided a contact number and told to call the number the next day and it will be sorted in a day or two. I've been trying to reach them since the past three days but no one answered the calls. I wasn't expecting this kind of attitude from the staffs. I'm giving this review for the pathetic service from the ground staff handling the baggage section",Solo Leisure,Economy Class,Imphal,Bangalore,,November 2022,4.0,5.0,,1.0,4,yes,,,
indigo-airlines,813956,2022-11-11,10,Bangladesh,Trip Verified,"""air hostesses were very polite and accommodating""",The air hostesses were very polite and accommodating. They ensured I had a very comfortable flight. Very pleased with their service and would definitely recommend this airlines.,Family Leisure,Economy Class,Delhi,Jaipur,,November 2022,5.0,5.0,,5.0,5,yes,,,
indigo-airlines,812906,2022-11-05,10,United States,Trip Verified,"""I had an outstanding experience with this airline""","I had an outstanding experience with this airline flying three routes from BLR to HYD, then HYD to LKO and then LKO to BOM. All three flights left right on time and arrived early to their destination. Check in was easy at airport and used their app for boarding passes and check in. On board the crews were polite and worked swiftly to serve passengers. I am unsure why all of the negative reviews, this airlines is leagues above any US carrier.",Business,Economy Class,Hyderabad,Lucknow,Mumbai,November 2022,5.0,5.0,5.0,5.0,5,yes,5.0,5.0,A320
indigo-airlines,812380,2022-11-02,1,United States,Trip Verified,"""management should be truly be ashamed""","So, I tried to heed the many warnings that I saw in this airline's terrible reviews regarding their baggage “Scam” policy. I recently had a flight from Mumbai to Maldives, for which the ticket fare was $159 for a one-way ticket. Still a little pricey, but not bad. The only reason why I took this airline was because it was the only airline available that had a direct flight to the Maldives. After booking the ticket, I noticed right away that it said only 20 kilo bag allowance. My initial thought was that it was a low weight for an international flight, but I'm sure I can purchase a bag, just in case. The week of the flight, I spent quite a bit of time looking through the baggage options. One problem is that the website will not allow you to add a bag until 48 hours before the flight, which is incredibly inconvenient when you are traveling. At 48 hours, I started the attempt to add a bag. The website is not user-friendly when it comes to adding bags. When you click on the add bags button, it takes you to another screen which then has two more buttons for add to cart or purchase now. Neither of these buttons work. I tried on Safari, Chrome, and also my mobile. Nada. The day before the flight, I spent well over an hour trying to figure out how to do it. On my mobile, I was able to get a little closer to where it would add excess weight, but only 5 kilos. You click on that button and the screen goes blank. Long story short, I had to spend an enormous amount of time on my holiday trying to add a dang bag. I finally found the loophole. When you go to 6e add-ons (where the add baggage should be but isn't) and just click on anything that is listed. It will take you to the add-on page and then there it is. Add a bag. More confusion sets in, because it says add an additional bag for 1800 rupees (~$22 usd). I thought, perfect! One catch, I didn't see anywhere that says what the additional weight is of that bag like you do on ALL the other airline websites out there. The morning of the flight, I saw my bags were still a little too heavy, so I added an extra 5 kilos, which was $40 for just 5 kilos. Yes, $40 for just 5 kilos. I get to the airport and my two bags were 35 kilos. Guy said that my bags were too heavy. I was so confused. I tried what I could to avoid a nightmare and yet it happened anyway. Come to find out, you are allowed 2 bags of 20 kilos TOTAL. Doesn't say total on the website. So, you have to pay $22 extra for the same exact weight, but for an additional bag! What the ever living. That makes no sense. You pay extra for a bag, but actually get less weight, because the additional bag will also add weight, so you have to pack less items. What a disaster. I ended up having to pay $162 in baggage fees for my $159 flight. How the government allows this, I have no clue. I saw a review where someone mentioned highway robbery. Good description, but more like extortion. I also notice that it tends to happen more to foreigners traveling. You have been warned, DO NOT use this airline. Hopefully one day, a reputable airline like Vistara (which was great) will buy this company out and change things around for the good, because the current management should be truly be ashamed. And if anyone asks about the plane size and baggage weight, it was a normal size plane, probably more to the larger size. There is only one reason for these kinds of prices and it is GREED. BEWARE!",Solo Leisure,Economy Class,Mumbai,Male,,October 2022,2.0,2.0,,1.0,1,no,,,
indigo-airlines,811784,2022-10-30,3,India,Trip Verified,"""scattered from seat no 15 to 31""",All the paid window and aisle seats are reserved for those who will pay for it. Me and family got scattered from seat no 15 to 31. During boarding they made us a call to run fast towards gates even when we checked in an hour before the departure time.,Family Leisure,Economy Class,Bombay,Delhi,,October 2022,4.0,4.0,3.0,2.0,2,no,2.0,1.0,
indigo-airlines,810629,2022-10-23,1,Canada,Not Verified,"""never be flying with them again""","Airline changed our flight by 3 hours - 3 days before our flight to Male. We were unable to make our connection flight to our much awaited resort holiday we we booked 6 months in advance, the best the airline had to offer was offer a next day flight or a different flight with a longer travel time by more than 6 hours, our stay was cut short by this stupid airline. Will never be flying with them again. Customer service manager utterly useless. All foreigners please stay away from this scam airline - unreliable",Couple Leisure,Economy Class,Cochin,Male,,October 2022,1.0,1.0,,1.0,1,no,,,
indigo-airlines,810390,2022-10-21,1,India,Trip Verified,"""pre booked meals given priority""","I flew Mumbai to Chennai on 21st Oct 2022. The inflight service was very bad. The announcement to buy food and beverages online was made but no crew came and asked if we would like to buy anything. When I called them to ask for a tin of cookies for my son, the 1st time I was told they need to serve pre booked meals 1st and then only they will get back to me, and the 2nd time again I asked while collecting trash and they said give us 5 minutes. So basically only pre booked meals passengers were given priority while those even though willing to buy in the air were not even asked if they wanted water. The crew just moved past my row and I had to call her back to ask for the cookies. If this is the kind of service offered, it's better IndiGo clearly states that only pre booked meals will be given any priority. Why make the false announcements of you may purchase any snacks you wish to. I would rate this kind of service negative. Very very disappointed.",Family Leisure,Economy Class,Mumbai,Chennai,,October 2022,1.0,1.0,1.0,2.0,1,no,,,
indigo-airlines,810187,2022-10-20,1,India,Not Verified,"""If the cancellation is by Indigo why do I bear such cancellation charges?""","I had booked a flight from Mumbai to Guwahati and back for Nov 2022. In October 2022 Indigo cancelled the flight and given an option for refund, saying the full amount will be paid to you. After getting assurance that I will get a full refund, I confirmed for cancellation. But later I got an email that part amount will be deducted towards agent booking charges. If the cancellation is by Indigo why do I bear such cancellation charges?",Family Leisure,Economy Class,Mumbai,Guwahati,,October 2022,1.0,1.0,1.0,1.0,1,no,,,
indigo-airlines,808948,2022-10-13,1,Armenia,Trip Verified,"""avoid this airline in the future""","It was a horrible experience. We had 2 flights via IndiGo to arrive in Thailand and 2 flights to return, and all flights were delayed. Very small cabins, non-friendly staff, dirty seats, and the plane smelled of food.  I will do my best to avoid this airline in the future.",Couple Leisure,Economy Class,Bangkok,Abu Dhabi,Mumbai,September 2022,1.0,1.0,,1.0,1,no,,,
indigo-airlines,808604,2022-10-11,1,India,Not Verified,"""delayed by half an hour or more in horrible heat""",Vododhara to Bangalore. It’s horrible experience that it is so hot and we cannot sit in the aircraft. It’s suffocating and no one is taking any action. They say a few minutes and it’s got delayed by half an hour or more in horrible heat,Family Leisure,Economy Class,Vododhara,Bangalore,,October 2022,2.0,1.0,,2.0,1,no,,,
indigo-airlines,808519,2022-10-11,1,India,Trip Verified,"""huge crowds at the check in counters""",Horrible experience. There were huge crowds at the check in counters. We were standing for 35 minutes. Finally when we reached the counter there was some system issues which the counter staff was struggling to resolve. It took more than 10 minutes. Finally system was set right but told your check in time has gone and could not accept the bags. We had to reschedule the flights by paying 10k extra and we reached destination 7 hours late,Family Leisure,Economy Class,Bengaluru,Bhagdogra,,October 2022,2.0,3.0,,1.0,1,no,,,
indigo-airlines,808496,2022-10-11,3,United States,Trip Verified,"""don't expect them to be friendly""","This airline is worst than Ryanair. It's not disabled friendly. The bus that transports you to aircraft sits very high. The ramp is extremely steep and the airlines lacks a lot for the handicapped. The airline is low cost which is understandable, but not when it comes to the very basic of comfort. The cabin crew do their job, but don't expect them to be friendly or sympathize with the elderly or disabled.",Business,Economy Class,Istanbul,Delhi,Bombay,October 2022,1.0,2.0,,2.0,4,no,,,
indigo-airlines,807325,2022-10-04,1,United States,Not Verified,"""a horrible experience"" ","I had a horrible experience with Indigo. My flight was from Goa to Kozhikode and had a 5 hour layover in Banglore. We landed in Banglore at 12:00 am and the flight to Kozhikode was not until 5:05 am boarding time. The boarding pass did not show the gate and the tv screens in the airport didnt show the gate until 5:00 am. We got to the gate at 5:15 and they said go to another counter quickly, from there they said quickly follow Indigo employee assuming he is trying to get us on the flight, instead he stamps the tickets and walk us out to the ticket counter. We waited an hour with 50-60 other people who missed their flight. When we got to the counter they said the next flight is not until tomorrow and its and additional 5000 rs for the tickets. Best thing to do is take a ""luxury bus"" to your location if you miss a flight in India. I would advice to never fly this airline, customer service is horrible also.",Solo Leisure,Economy Class,Goa,Kozhikode,,September 2022,1.0,3.0,,1.0,1,no,,,
indigo-airlines,805016,2022-09-24,1,India,Trip Verified,"""Flight delayed around 1.5 hrs""","Flight delayed around 1.5 hrs and when enquired about reasons, ground staff answers very rude in Gate 8. Not a customer caring staff in a service industry that too in airlines. Culture of Indigo reflects in this kind of staff behavior.",Business,Economy Class,Pune,Chennai,,September 2022,2.0,3.0,,1.0,2,no,,,
indigo-airlines,804184,2022-09-19,1,United States,Trip Verified,"""careless with sensitive luggage""","Indigo was utterly careless in handing a sensitive item like infant / baby child restraint system (CRS) and caused damage even after we safely handed it to them at the gate.  The bag is badly torn and the car seat inside scratched when we received it at the destination. The bag which holds the car seat was expensive too and was not a flimsy one which would have gotten easily torn unless it was handled badly. We use the bag for the car seat exclusively for checking the car seat while flying and have been in 6 flights so far without any issues.  It is clear that the seat and bag were subjected to a lot of stress and abrasion and we will forever be doubting the structural integrity of the car seat which is worth over 75k INR due to Indigo's shoddy handling. We made Indigo aware of this issue after we got down and collected the item at VTZ. Without trying to understand the extent of the damage, Indigo's agent blindly offered 500 rupees. We did not accept since just the bag alone costs 10 times that amount. She also tried to push blame on us that the bag was not strong enough to handle air travel. It is appalling that Indigo thinks this is normal handling for a car seat in their business. We left the airport since we disagreed with her 500 rupees offer and did not know what else to do. Agent used our lack of knowledge and did not mention that the correct process is for us file a Property Irregularity Report (PIR) with her and use the PIR to later submit a claim to Indigo later. We later found out that leaving the airport without PIR means that we accepted everything was in good condition and cannot hold Indigo liable anymore. Indigo was careless with sensitive luggage items like a car seat and did not offer a fair resolution even after they were made aware.",Family Leisure,Economy Class,Ahmedabad,Visakhapatnam,,September 2022,2.0,2.0,,1.0,2,no,,,A321-271NX
indigo-airlines,802261,2022-09-07,1,India,Trip Verified,"""I asked for nearby seats""",I was travelling with my kid aged 3 year and 11 months. I asked for nearby seats while check in. But the lady at the security check in desk denied telling its peak season and not possible.  Not at all adjustable.,Family Leisure,Economy Class,Bangalore,Kochi,,September 2022,3.0,3.0,2.0,4.0,2,no,,,
indigo-airlines,801492,2022-09-02,7,India,Trip Verified,"""seats are just okay""","A good experience. Its largest Indian airline and with best On time performance. Boarding was swift, aircraft was clean and fresh. It was a late night flight. Departed before time and reached Mumbai before time too. Cabin crew was courteous ,no IFE option, seats are just okay. Overall good experience",Solo Leisure,Economy Class,Ahmedabad,Mumbai,,August 2022,3.0,4.0,,3.0,4,yes,,,A320Neo
indigo-airlines,798996,2022-08-18,1,Italy,Trip Verified,"""they needed to check my credit card""","I wasn't happy at all. I am a foreigner and I booked the flight at least two months in advance. In these 2 months I received several unsolicited emails for buying extra services (like many airlines do). To days before my flight, when I was in India, I received an email informing that it was time to proceed with web check-in. I did so, but my web check-in failed with with message saying that I was I the ""watch queue"". I contacted the help desk, which was not very quick, but in the meanwhile I browsed the internet and found out that, since I booked my flight with an international credit card I needed to show the credit card at the check-in. Luckily enough, I brought the credit card with me (it was about to expire, and I have more than one credit card, so I really thought I could leave it at home) otherwise they would have denied boarding.  I have no idea why they needed to check my credit card (they didn't explain), and no idea why they didn't send me any email telling me that I needed to show my credit card. Apart for that,  it is a low cost, and it is worth what it costs.",Couple Leisure,Economy Class,Delhi,Mumbai,,August 2022,3.0,3.0,,2.0,1,no,,,
indigo-airlines,798667,2022-08-16,8,India,Trip Verified,"""good experience with Indigo""","Another good experience with Indigo, on time departure and arrival, clean fresh cabin, cheerful cabin staff, nothing much to complain with a LCC.",Business,Economy Class,Delhi,Ahmedabad,,August 2022,3.0,4.0,,4.0,4,yes,,,A320
indigo-airlines,798456,2022-08-15,10,India,Not Verified,"""I want to thank the team""",I want to take this opportunity to thank the Captain & cabin crew of 6E7475 CCU to IXR and all Indigo team. Last evening i have border 6E 7475 from CCU to IXR the flight was good till it reaches Ranchi before landing we faced gusty weather with heavy rains and winds the pilot was unable to land we touched down the air strip and again fly back then we fly back to CCU then around 11:20 pm the team decides to again reattempt the landing around 12:50 am in Ranchi but again we could not land due to poor visibility.  We again fly back to Kolkata. They provided me a 4 star accommodation along with food and arrange a car for pick up and drop. They have also reschedule the flight for the next day. I want to thank the team.,Solo Leisure,Economy Class,Kolkata,Ranchi,,August 2022,3.0,4.0,3.0,3.0,5,yes,3.0,1.0,
indigo-airlines,797552,2022-08-09,5,Bangladesh,Trip Verified,"""they changed my seat""","We had confirmed our ticket on 22/07/2022. During confirmation they provided me a seat, which was 9D. But, during the period of Boarding they changed my seat to 33 D without any prior notification.  Their luggage handling system tore my luggage cover and there were several scratched on our luggage. They had boarded us on air bridge before making the aircraft ready. For this reason we had to wait on air bridge almost 20 minutes.",Business,Economy Class,Goa,Kolkata,,August 2022,3.0,3.0,2.0,2.0,2,no,1.0,1.0,
indigo-airlines,795997,2022-08-01,3,Myanmar,Trip Verified,"""gate baggage was missing at Delhi airport""","My gate baggage was missing at Delhi airport. At the last minutes of boarding , airline staff asked me to take off the power bank from my gate baggage. And I did. But when I got to Bangkok, my bag was not on flight. Airport staff didn't put my bag in my flight on time. And today is the 5th day, I didn't get any information and the bag yet.",Solo Leisure,Economy Class,Dubai,Bangkok,Delhi,July 2022,1.0,1.0,,1.0,3,no,,,A320
indigo-airlines,795815,2022-07-30,1,Saudi Arabia,Trip Verified,"""minimum everything""","Bangkok to Riyadh via Mumbai. Really bad airline and transfer, I haven’t seen this long of a queue at the airport check in. Slow process. Bad uncomfortable seats, minimum everything, as the airplane was under staffed for sure (2 only for a huge airplane). It’s not like the price paid for ticket is even cheap, it’s at the average or even more. But they suck so bad.",Solo Leisure,Economy Class,Bangkok,Riyadh,Mumbai,July 2022,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,793111,2022-07-16,7,India,Trip Verified,"""Average experience this time""","Average experience this time only because of delays, otherwise ok experience. Reached Airport on time but flight got delayed by one an half hour in last moment due to operational reasons, in place of 23:35 it got rescheduled at 00:55, Traveling with only cabin baggage so no check in experience,. Cabin was clean and fresh, no doubt Indigo cabin cleaning is best in India. Seat pitch is little concern for someone with 6 feet but still ok for 2 hr flight. Paid meal served, those who didn’t booked before would get only instant food like noodles or Upma. Overall reached Mumbai around 1 hr delayed whereas departed from Delhi around 1 and half hour.",Solo Leisure,Economy Class,Delhi,Mumbai,,July 2022,3.0,4.0,,4.0,4,yes,,,A320
indigo-airlines,793102,2022-07-16,7,India,Trip Verified,"""Cabin was clean and fresh""","As most of the time good experience. Was traveling with only cabin baggage so no counter check in experience, boarding started on time and so as departure, even though it was raining heavily at Mumbai still departed on time. Due to weather it was little turbulent on the way and reached Ahmedabad on time. An hour long flight light snacks was provided. Cabin was clean and fresh, seats are ok.",Business,Economy Class,Mumbai,Ahmedabad,,July 2022,3.0,4.0,3.0,4.0,4,yes,3.0,,A 320
indigo-airlines,792318,2022-07-12,8,India,Trip Verified,"""overall good experience""","Indigo is best on time operator in India and this time too flew on time. Check in was smooth, took total 10-12 min, boarding started on time and also departed on time. Cabin was clean and fresh, no food booked or bought at aircraft so can’t comment. Toilets were clean. Cabin crew were courteous. Only con is seats, as a LCC not very comfortable but ok for 2-3 hr flights. Reach Ahmedabad on time, so overall good experience.",Family Leisure,Economy Class,Goa,Ahmedabad,,July 2022,3.0,4.0,,4.0,4,yes,,,A320Neo
indigo-airlines,792007,2022-07-11,1,United Arab Emirates,Trip Verified,IndiGo customer review,"Flew in indigo from Dubai to Chennai. Flight departed after 1 and half hours from the scheduled time. Beverage - Paid for alcoholic beverage while booking the ticket and ended up getting paper boat pomegranate juice. Food, ordered chicken curry rice, but for the first time in my life had to eat poor rice.",Family Leisure,Economy Class,Dubai,Chennai,,July 2022,5.0,1.0,1.0,1.0,2,no,,,
indigo-airlines,791649,2022-07-09,9,India,Trip Verified,"""Clean spotless cabin""",Flying with Indigo is a pleasure. Clean spotless cabin and always punctual. My trip from New Delhi T-1 to Surat on 6-july 2022 was perfect. Only I wish the Airhostess wish passengers with big smile and welcome message when we embark. Most of the time its a miss. It goes a long way in the feel good factor of passengers.,Family Leisure,Economy Class,New Delhi,Surat,,July 2022,5.0,4.0,4.0,5.0,4,yes,,,A320
indigo-airlines,790802,2022-07-04,8,India,Trip Verified,"""the crew were able to discharge their duties well""","I had to book this flight very suddenly due to an urgent issue and also due to the ongoing ATF prices for the airlines the prices were on the higher side. The online check in was a smooth process and as this was booked with a corporate fare, the seat selection was free. The baggage drop at the counter was a smooth and quick affair. Boarding started on time and the crew were able to discharge their duties well. For the corporate meal, I was pleased to note that the selection had increased from the last time and also included items like chicken noodles and biriyani along with tea, coffee, juices. The portions of the food were okay. The flight landed on time and the crew did not manage to wish goodbye and thank others but did wish me when I passed by which was appreciated. One thing to note was that the inflight magazine and the air sickness bag were not there on every seat and perhaps this is something that can be included on all seats as a feedback item. But otherwise, this was a good flight.",Couple Leisure,Economy Class,Bengaluru,Kolkata,,July 2022,4.0,4.0,3.0,4.0,4,yes,,,A320 Neo
indigo-airlines,789418,2022-06-27,1,Australia,Trip Verified,"""I had to wait for almost 10 hours""",My flight from Darwin to Singapore got delayed but I managed to clear immigration and got to the ticket counter more than an hour ago of my flight schedule time but i found out that Indigo closed their counters around 15 minutes prior the usual time and I missed my flight. Airport staff was surprised by the fact that how can they close their counter this early they tried their best to contact the airline to help me but no one picked up the phone.  I lost my flight and had to book another flight which cost me extra $500 also made me lose my friends wedding which was sole reason i booked this trip. I had to wait for almost 10 hours for my next flight and took me the whole next day in travel to get to my destination.,Family Leisure,Economy Class,Singapore,Jaipur,Chennai,June 2022,,,,1.0,4,no,,,
indigo-airlines,788244,2022-06-21,1,India,Trip Verified,"""no screen, no charging points""","Indigo using domestic flights in international routes. Even after paying good amount, uncomfortable seats, no screen, no charging points, service staff rude to me. Announcement done in such a weird way. Lights were disturbing even in a overnight flight.",Couple Leisure,Economy Class,Istanbul,Delhi,,June 2022,1.0,1.0,1.0,1.0,1,no,1.0,1.0,
indigo-airlines,784661,2022-06-01,2,Canada,Trip Verified,"""baggage was overweight 4 kgs and charging 2100rs""",Travelling from Mumbai (Terminal 1) to Chandigarh had the worst experience and poorest customer service. No information was provided on the ticket about Online check-in process. Myself along with my old parents and a 5 year old was informed at the counter about online check in process or else were supposed to pay 200rs each to get a boarding pass at the counter  I finally ended calling my brother who did that for us. I went with my boarding passes to the Counter and agent stating baggage was overweight 4 kgs and charging 2100rs for this. We were told that either we can take our luggage back or has to pay.,Family Leisure,Economy Class,Mumbai,Chandigarh,,May 2022,1.0,1.0,,1.0,1,no,,,
indigo-airlines,783143,2022-05-22,10,India,Trip Verified,"""she was really very helpful""","I want to really appreciate Mrs Ruchika and it was my pleasure to meet with her as she was really very helpful. I travelled when I was 36 weeks pregnant and I was not feeling good while traveling in flight, she was the only one who helped me in those circumstances, she had given me a head massage, offered me green tea, arranged a best seat according to my situation, she arranged some cushions to put legs on that so I felt very relax. Whatever the possible help she can do, she tried her best, and really its appreciable. Thank you being so kind for me in my bad time. We really need that type service...",Family Leisure,Economy Class,Chennai,Dekhi,,March 2022,3.0,5.0,,3.0,5,yes,5.0,,A320
indigo-airlines,782565,2022-05-19,4,India,Trip Verified,"""Uncalled for rescheduling and delay""",Flight was rescheduled. Then on the changed connect flight there was a delay in departure from 16:55 to 17:35. Delay was not acknowledged or intimated or informed to us of the specific delay. Uncalled for rescheduling and delay of flights.,Family Leisure,Economy Class,Nagpur,Goa,Mumbai,May 2022,3.0,4.0,,3.0,3,yes,,,
indigo-airlines,781789,2022-05-15,5,India,Trip Verified,"""no guarantee that we will be seated together""",For our flight (my husband n me) today evening at 5.45 pm I tried doing web check at about 10 am. I had no option to select a free seat together. Only way to ensure we sit together was if I bought seats - one middle one window or aisle. Cost of middle seat is minimum Rs 90/ and cost of aisle or window seat is minimal Rs 150 or max Rs 350. When I tried to web check in without seat selection message popped up in auto seat allotment- there is no guarantee that we will be seated together. The website gives no option of free seats together to choose.,Couple Leisure,Economy Class,Guwahati,Bengaluru,,May 2022,3.0,5.0,4.0,3.0,2,no,4.0,,
indigo-airlines,779229,2022-04-28,9,United States,Not Verified,"""Great customer service""",Best airline ever. Great customer service. Pleasant staff. Super impressed. I was traveling with baby and toddler. They went above and beyond. I have been living in US and no airline was close to this.,Family Leisure,Economy Class,Mysore,Hyderabad,,April 2022,5.0,5.0,5.0,5.0,5,yes,5.0,5.0,
indigo-airlines,778776,2022-04-25,2,India,Trip Verified,"""delayed by almost four hours""","I am 78 and my wife 68. We planned this trip to visit our daughter staying in UAE. Did'nt expect the experience will be so bad. This flight 6E 1407 on the 23rd April 2022 was supposed to fly from Lucknow India at 21:30 as per schedule. We were asked to board the flight. And then the wait started, at first they said some technical error we should be go to fly soon. But then it was delayed by almost four hours. People where seated in the aircraft with no air condition / no water to drink. The air hostess were helpless. The main reason for the delay was because the pilot who was supposed to fly this aircraft didn't turn up for some reason. So the airline decided to make us wait in the aircraft under these conditions ... is this acceptable? Indigo has been a good experience for me early. This was one experience that I faced recently.",Family Leisure,Economy Class,Lucknow,Sharjah,,April 2022,1.0,1.0,1.0,2.0,3,no,,,
indigo-airlines,777993,2022-04-19,8,India,Trip Verified,"""Good budget airline""","Good budget airline. 15 kg check in and 7 kg cabin baggage included. On time departure and early arrival. Clean cabin, seat itch just as any LCC. Courteous cabin crew:",Solo Leisure,Economy Class,Delhi,Patna,,April 2022,2.0,4.0,,4.0,4,yes,,,A320 Neo
indigo-airlines,777288,2022-04-15,2,South Africa,Trip Verified,"""made to pay Rs.200 for not web checkin""",Web checkin info is unclear and passenger is made to pay Rs.200 for not web checkin.  International travellers are not allowed to carry more then 15kg of luggage whereas the international allows 40 kg it means international travellers be away. International connecting is allowed to carry 30kg on payment of RS. 6600. Even after paying RS 6600/- the passenger must pay extra RS 2000 if made 2 bags instead of 1 bag of 30kg. Travellers are charged for seat selection.,Family Leisure,Economy Class,Belgaum,Bangalore,,April 2022,3.0,3.0,2.0,1.0,1,no,1.0,1.0,
indigo-airlines,776705,2022-04-11,8,United Kingdom,Not Verified,"""how good and tolerant the flight crew were""",Chandighar to Goa. Flight was fully booked and was good. Only thing to spoil it was parents note-taking responsibility for their kids. I was amazed how good and tolerant the flight crew were. I certainly wouldn't have been. Flight we were on was a all female crew from captain to stewardess.,Couple Leisure,Economy Class,Chandighar,Goa,,March 2022,4.0,5.0,,5.0,5,yes,,,A320
indigo-airlines,775268,2022-04-03,10,Thailand,Trip Verified,"""very professional and polite""",The team of Indigo is very professional and polite from Wheelchair to checkin. Special thanks to Miss Manisha Kaim for such a super fast check in. Indigo should proud to have team members like her.,Family Leisure,Economy Class,Delhi,Udaipur,,April 2022,5.0,5.0,5.0,5.0,5,yes,,,
